srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
200088201010645,271.090850906506,-24.2739026768603,QSO,0.592,,,STAR,1.0,,,6.139311822928618,-1.25951033140721,J180421.80-241626.0,271.0908535,-24.2739026,0.1096,0.1026,167.7,10.586,10.429,9.59,2.882,12.561,11.67,11.176,0.048,0.065,,0.052,0.022,0.022,0.019,2708024301351030451,hdDD,1,30nn,AAUA,-29,91,443,96,0.334,0.008361
200509403010002,274.863262628521,-32.3174096692738,STAR,0.581,,,STAR,1.0,,,0.6150111783530554,-7.998448460991019,J181927.19-321902.7,274.8633205,-32.3174305,0.0405,0.0379,96.4,10.278,10.281,10.298,8.516,10.738,10.459,10.368,0.023,0.022,0.078,,0.024,0.023,0.021,2752031901351008393,0h00,0,110n,AAAU,-1,43,110,42,0.084,0.191281
200673403010012,271.91698228691,-31.238679932181,STAR,0.411,,,STAR,0.999,,,0.39512819163113844,-5.2803078198176365,J180740.08-311419.2,271.9170052,-31.2386708,0.0543,0.0529,81.5,11.246,11.293,11.407,8.045,12.17,11.453,11.358,0.027,0.031,0.207,,0.024,0.022,0.023,2717031901351059837,0000,1,01nn,AABU,68,58,-47,59,0.443,0.077722
201357430010001,270.75710747288,-22.718545214906,GALAXY,0.612,,,,,,,7.34342906069988,-0.2283979055755015,J180301.69-224306.6,270.7570539,-22.7185219,0.0404,0.0379,88.7,6.404,6.837,6.982,8.11,6.771,6.808,6.846,0.059,0.021,0.043,,0.029,0.038,0.023,2704022801351028229,hh00,1,411n,AAAU,74,38,-239,36,0.327,0.19686
201442714010001,269.145395544854,-21.9880970416607,STAR,0.943,,,,,,,7.235769226710832,1.4280419450926483,J175634.89-215917.0,269.1453863,-21.9880562,0.036,0.0337,102.7,7.574,7.564,7.592,7.99,8.825,8.135,7.939,0.025,0.019,0.031,0.28,0.032,0.036,0.023,2687022801351053688,00hH,1,200n,AAAB,80,49,263,53,0.277,0.150268
203027605010009,278.49103286645,-25.894130481865,QSO,0.558,,,GALAXY,0.998,,,7.846006510282408,-7.94070468520272,J183357.85-255338.7,278.491065,-25.8940957,0.0499,0.0485,151.8,12.058,12.127,12.39,8.959,13.379,12.526,12.261,0.026,0.027,0.532,,0.022,0.025,0.026,2783025801351034233,dd00,0,00nn,AACU,-126,72,-6,74,0.397,0.162815
203059701010087,271.18775586928,-27.621296563156,GALAXY,0.544,,,STAR,1.0,,,3.2607454181218607,-2.9736909960359053,J180445.05-273716.6,271.1877251,-27.6212852,0.0866,0.0811,164.3,10.775,11.025,12.114,8.952,11.645,11.021,10.88,0.039,0.045,,,0.028,0.023,0.019,2704027301351025459,d000,0,11nn,AAUU,-142,79,268,85,0.324,0.106426
203067001010007,266.4698677474,-21.452076414181,QSO,0.557,,,GALAXY,0.83,,,6.429151741603999,3.8396824430041776,J174552.75-212707.3,266.4698226,-21.4520429,0.1534,0.1034,178.0,11.776,12.008,11.641,8.921,13.005,12.143,11.837,0.053,0.057,,,0.022,0.022,0.023,2663021301351018827,0000,0,nnnn,AAUU,,,,,0.567,0.193425
203071101010006,268.12788667143,-29.808658917353,GALAXY,0.395,,,STAR,1.0,,,0.02485371015851943,-1.7363013190701424,J175230.68-294831.2,268.1278406,-29.8086773,0.1055,0.0978,165.7,10.142,10.35,10.815,8.572,10.738,10.442,10.324,0.046,0.048,0.195,,,0.053,0.043,2678030301351058689,ddO0,0,11nn,AABU,-33,97,76,96,0.525,0.158315
204056002010004,274.54532006936,-30.349191071361,STAR,0.46,,,,,,,2.252824653568764,-6.853855352928515,J181810.87-302057.2,274.5453169,-30.3492272,0.0472,0.0446,109.1,11.633,11.666,11.833,8.84,12.442,11.924,11.828,0.026,0.025,,,0.026,0.024,0.026,2747030301351036515,0000,1,00nn,AAUU,43,68,-34,67,0.25,0.130391
205038501010375,270.26668580786,-23.874681567333,QSO,0.717,,,STAR,1.0,,,6.115700245630134,-0.4080196083779242,J180104.00-235228.9,270.2666899,-23.8747169,0.1712,0.1587,172.8,11.655,12.176,9.514,6.94,14.183,12.641,11.992,0.065,0.123,,,0.036,0.022,0.019,2708024301351040053,dDHH,1,6nnn,ABUU,-156,221,-260,213,0.808,0.127829
206509101010001,263.86165984042,-25.528683926911,GALAXY,0.372,,,STAR,1.0,,,1.6941193641600525,3.7223846594624885,J173526.79-253143.3,263.8616462,-25.5287039,0.0388,0.0369,88.8,9.036,8.996,8.961,8.246,11.017,9.819,9.411,0.023,0.021,0.04,0.292,0.026,0.024,0.023,2633025801351047657,0000,0,000n,AAAB,-104,43,0,41,0.111,0.084588
206946414010088,267.07398271981,-28.468049748862,QSO,0.84,,,STAR,1.0,,,0.7045790398002726,-0.25891687908629735,J174817.76-282805.0,267.0740219,-28.4680677,0.0569,0.0548,154.1,8.457,8.575,9.232,7.827,9.395,8.854,8.599,0.028,0.03,,,0.026,0.049,0.025,2674028801351043646,0dhH,1,00nn,AAUU,-96,67,54,72,0.208,0.139933
207631001010001,272.63982953556,-26.032968310319,STAR,0.759,,,,,,,5.280798241426494,-3.3389624727266938,J181033.55-260158.5,272.6398212,-26.0329216,0.039,0.0389,91.8,6.231,6.344,6.484,6.697,6.664,6.533,6.456,0.084,0.024,0.018,0.106,0.024,0.029,0.023,2733025801351013100,dd00,1,4210,AAAA,-37,42,-76,41,0.182,0.170276
207641901010003,266.34417524063,-28.291183824034,QSO,0.441,,,STAR,1.0,,,0.5226218198795274,0.38175534928196675,J174522.59-281728.2,266.3441527,-28.291171,0.1443,0.1318,173.5,9.974,10.23,8.39,6.067,10.899,10.056,9.848,0.057,0.071,0.295,0.348,0.023,0.025,0.025,2657028801351056754,dddd,1,2110,AABB,-106,126,162,141,0.303,0.085072
207641906010030,265.72586094781,-28.451613510686,QSO,0.622,,,STAR,1.0,,,0.10103603911558884,0.7612372434316241,J174254.19-282705.7,265.7258248,-28.4515892,0.0675,0.065,151.1,8.897,8.832,8.498,6.345,9.565,9.415,9.345,0.033,0.033,0.083,0.127,0.033,0.037,0.045,2657028801351048215,dhdd,1,1110,AAAB,19,63,-109,63,1.183,0.143908
207641909010065,265.67729277811,-28.273214682026,GALAXY,0.52,,,,,,,0.23029066637619247,0.8914271233228981,J174242.55-281623.5,265.6773297,-28.2732071,0.0412,0.04,144.9,7.652,7.553,6.647,5.952,10.976,9.089,8.137,0.031,0.023,0.025,0.07,0.022,0.019,0.02,2657028801351060550,0000,0,4300,AAAA,-76,46,-265,45,0.03,0.120053
