srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
200088201010015,270.919642232195,-24.3781079368283,QSO,0.562,,,,,,,5.971902326003634,-1.1747519886517461,J180340.69-242241.2,270.9195557,-24.3781141,0.3333,0.2855,80.6,1.668,2.033,-5.492,,,,,,0.439,0.011,,,,,2708024301351030485,hhdD,3,n1nn,UCAX,3161,360,-1143,688,,0.284726
200088201010386,271.060245550072,-24.3267896148571,QSO,0.728,,,STAR,1.0,,,6.079527618876294,-1.2611435028103788,J180414.46-241936.1,271.0602864,-24.326722,0.0869,0.0842,150.5,10.622,10.724,7.106,3.585,11.724,11.089,10.91,0.038,0.046,0.133,0.155,0.026,0.029,0.03,2708024301351029924,00Hd,1,01n2,AABB,8,78,138,82,0.728,0.277784
200088201010645,271.090850906506,-24.2739026768603,QSO,0.592,,,STAR,1.0,,,6.139311822928618,-1.25951033140721,J180421.80-241626.0,271.0908535,-24.2739026,0.1096,0.1026,167.7,10.586,10.429,9.59,2.882,12.561,11.67,11.176,0.048,0.065,,0.052,0.022,0.022,0.019,2708024301351030451,hdDD,1,30nn,AAUA,-29,91,443,96,0.334,0.008361
200509403010002,274.863262628521,-32.3174096692738,STAR,0.581,,,STAR,1.0,,,0.6150111783530554,-7.998448460991019,J181927.19-321902.7,274.8633205,-32.3174305,0.0405,0.0379,96.4,10.278,10.281,10.298,8.516,10.738,10.459,10.368,0.023,0.022,0.078,,0.024,0.023,0.021,2752031901351008393,0h00,0,110n,AAAU,-1,43,110,42,0.084,0.191281
200509403010013,274.985011599753,-32.3330220436143,QSO,0.634,,,STAR,0.992,,,0.6483032387584079,-8.097148166358599,J181956.41-321958.7,274.9850752,-32.3329961,0.0423,0.0403,85.3,11.623,11.681,11.822,8.841,12.305,11.812,11.685,0.023,0.023,,,0.024,0.023,0.024,2752031901351008584,0000,0,00nn,AAUU,-21,62,107,65,0.065,0.214969
200673403010012,271.91698228691,-31.238679932181,STAR,0.411,,,STAR,0.999,,,0.39512819163113844,-5.2803078198176365,J180740.08-311419.2,271.9170052,-31.2386708,0.0543,0.0529,81.5,11.246,11.293,11.407,8.045,12.17,11.453,11.358,0.027,0.031,0.207,,0.024,0.022,0.023,2717031901351059837,0000,1,01nn,AABU,68,58,-47,59,0.443,0.077722
201122202010026,279.15989033895,-23.913115329191,QSO,0.645,,,GALAXY,0.675,,,9.90933837782408,-7.604617414385515,J183638.38-235447.1,279.1599575,-23.9131008,0.1832,0.1137,178.9,12.026,12.267,12.253,8.266,13.022,12.456,12.375,0.068,0.071,,,0.039,0.052,0.041,2790024301351045837,0000,1,00nn,AAUU,329,116,20,136,0.31,0.227238
201129704010084,266.565570074948,-28.5865965252082,GALAXY,0.424,,,STAR,1.0,,,0.37176835913450357,0.06173706291263303,J174615.73-283511.9,266.5655622,-28.5866577,0.0744,0.072,142.3,8.558,8.86,8.111,5.589,9.6,8.9,8.645,0.031,0.052,,,0.026,0.034,0.019,2657028801351053769,hhHH,1,00nn,AAUU,99,76,-96,77,0.222,0.221625
201357430010001,270.75710747288,-22.718545214906,GALAXY,0.612,,,,,,,7.34342906069988,-0.2283979055755015,J180301.69-224306.6,270.7570539,-22.7185219,0.0404,0.0379,88.7,6.404,6.837,6.982,8.11,6.771,6.808,6.846,0.059,0.021,0.043,,0.029,0.038,0.023,2704022801351028229,hh00,1,411n,AAAU,74,38,-239,36,0.327,0.19686
201359601010013,267.78825312814,-26.555698832987,STAR,0.834,,,,,,,2.670681403554341,0.1801711649469656,J175109.17-263320.7,267.7882174,-26.5557552,0.0482,0.0463,121.4,8.413,8.46,8.856,7.034,9.01,8.627,8.481,0.025,0.026,,,0.023,0.033,0.022,2670027301351053572,0dhH,1,00nn,AAUU,14,44,-58,44,0.271,0.233221
