srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
202049301010208,251.94596037745,-44.73593242728,GALAXY,0.625,,,,,,,340.48180675469246,0.22083314083292035,J164746.99-444409.4,251.9457926,-44.7359463,0.0384,0.0366,117.4,8.455,8.395,8.742,7.13,12.215,10.2,9.275,0.023,0.02,0.122,,0.026,0.027,0.026,2513045501351051486,dd00,1,200n,AABU,54,35,-209,34,1.308,0.432064
202049301010263,251.95966578648,-44.742754802996,GALAXY,0.783,,,,,,,340.4828827357896,0.2089941910469323,J164750.34-444433.4,251.9597766,-44.7426261,0.1365,0.1294,165.0,11.449,11.576,8.995,6.759,13.937,12.548,11.939,0.06,0.064,0.202,0.288,0.022,0.023,0.03,2513045501351053010,0000,0,nnnn,AABB,-306,141,34,144,1.047,0.543247
202063802010005,249.988716266038,-46.8575450556912,GALAXY,0.731,,,STAR,0.999,,,337.98503268033244,-0.13769342129254103,J163957.29-465126.6,249.9887239,-46.8573897,0.0484,0.0481,109.3,9.885,8.67,8.462,4.44,17.129,14.959,12.119,0.028,0.023,,,,,0.041,2509047001351037014,hhHd,1,10nn,AAUU,14,49,-109,53,0.126,0.559635
202063802010013,250.010249905973,-46.533464869966,QSO,0.566,,,STAR,1.0,,,338.23712106424165,0.06650657318920612,J164002.46-463159.9,250.0102557,-46.5333181,0.0457,0.0437,109.1,8.243,8.343,9.101,6.713,9.599,8.844,8.514,0.024,0.024,0.209,,0.022,0.024,0.023,2509047001351038091,ddOH,1,00nn,AABU,114,43,78,42,0.33,0.528558
202063803010135,250.242183831889,-45.5678413472373,STAR,0.596,,,STAR,1.0,,,339.06678065115125,0.5861493925459758,J164058.12-453403.9,250.2422082,-45.5677725,0.1218,0.1095,2.5,11.485,11.65,9.105,5.92,12.41,11.798,11.655,0.049,0.059,0.229,,0.026,0.03,0.03,2492045501351026725,00dD,0,11nn,AABU,-88,114,-158,122,0.585,0.255344
202063803010180,250.58923231974,-45.417466398455,GALAXY,0.646,,,,,,,339.34034932432496,0.5026921915413373,J164221.35-452503.0,250.5889604,-45.4175018,0.0786,0.0724,177.3,10.79,10.809,8.834,6.427,12.847,11.726,11.328,0.037,0.035,0.189,0.189,0.022,0.024,0.025,2513045501351035372,ddd0,1,2321,AABB,-154,102,-60,92,0.594,0.698834
202063803010242,250.65979770567,-45.411351140834,GALAXY,0.68,,,,,,,339.37755866091834,0.46942533516253326,J164238.36-452441.4,250.659861,-45.4115035,0.0598,0.0565,163.2,10.51,10.588,11.156,8.211,14.011,11.907,11.055,0.029,0.031,,,0.039,0.03,0.024,2513045501351035395,0000,0,00nn,AAUU,-29,54,-163,58,0.165,0.571298
202063807015038,252.114704294381,-45.2647785492636,GALAXY,0.965,,,STAR,0.971,,,340.1545974711413,-0.2114277556884367,J164827.48-451552.8,252.1145023,-45.2646713,0.0891,0.0746,172.0,10.406,10.348,6.945,3.964,10.664,10.617,10.592,0.035,0.046,0.111,0.15,0.028,0.025,0.026,2513045501351048232,hdhh,1,nnnn,AABB,15,53,331,106,0.202,0.641034
202070501010015,228.563323238241,-59.4433258258664,STAR,0.926,,,STAR,1.0,,,320.1967704821583,-1.4463635282276046,J151415.19-592636.1,228.5633285,-59.4433703,0.04,0.0388,107.7,10.401,10.292,10.101,8.915,11.525,10.898,10.635,0.024,0.021,0.081,,0.032,0.03,0.029,2275059101351023893,0000,1,420n,AAAU,-261,39,-74,39,0.347,0.160334
202070502010020,228.46520557715,-59.001617349839,STAR,0.48,,,,,,,320.38309730388823,-1.0427227493574822,J151351.58-590006.2,228.4649241,-59.0017244,0.3398,0.3015,15.5,15.413,14.694,9.651,5.513,,,,,,0.228,0.148,,,,2275059101351027932,0000,0,nn00,UUBB,-1853,347,-3986,379,,0.648795
202070502010077,228.198503249344,-58.9958027338997,QSO,0.557,,,,,,,320.268461703267,-0.9667872558329942,J151247.72-585944.9,228.1988733,-58.9958081,0.0357,0.0329,126.5,7.609,7.547,7.271,6.852,8.748,8.201,7.903,0.026,0.019,0.028,0.111,0.024,0.02,0.018,2275059101351028165,0000,1,0000,AAAB,-235,37,52,34,0.263,0.686448
202073001010066,133.152601323127,-46.3373486699622,QSO,0.751,,,STAR,0.996,,,266.32956891695295,-1.1413770344012304,J085236.68-462014.6,133.1528682,-46.3374099,0.0871,0.0712,13.2,13.559,13.648,12.643,9.086,14.387,13.858,13.671,0.035,0.04,,,0.04,0.046,0.052,1330047001351057164,00H0,0,nnnn,AAUU,,,,,0.297,0.698885
202073002010049,258.610885254313,-39.84492561098,GALAXY,0.953,,,,,,,347.36599834076424,-0.6599872761651833,J171426.65-395041.6,258.6110698,-39.8449111,0.2712,0.2643,117.4,12.127,12.746,9.57,7.748,13.909,12.7,12.302,0.09,0.159,0.261,,0.036,0.031,0.029,2593039401351013149,h0pH,0,110n,ABBU,78,243,176,543,0.176,0.512751
