srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
204051819010001,170.445070072312,-59.8633265961532,GALAXY,0.592,,,STAR,0.954,,,291.89321493890105,1.072909062147001,J112146.81-595147.9,170.4450767,-59.8633166,0.0344,0.0321,137.5,8.043,7.982,7.807,7.412,8.548,8.34,8.185,0.023,0.019,0.022,0.091,0.03,0.036,0.023,1710060601351055499,HH00,0,nn11,AAAA,-27,23,-4,23,0.015,0.037945
205020801010010,258.91866900018,-39.570736009459,QSO,0.627,,,,,,,347.72683654392284,-0.6925312423735238,J171540.47-393414.7,258.9186656,-39.5707567,0.0391,0.0362,82.0,6.201,6.38,6.367,5.756,7.201,6.874,6.639,0.067,0.021,0.025,0.06,0.02,0.026,0.021,2593039401351015829,hhhh,1,6411,AAAA,-40,37,38,35,0.075,0.074971
206047001010001,154.731610084886,-58.946142556549,GALAXY,0.508,,,STAR,0.986,,,284.3518310065682,-1.6901079443367701,J101855.58-585646.0,154.7316107,-58.9461153,0.0413,0.0372,153.0,9.897,9.906,10.41,8.808,10.436,10.144,10.016,0.024,0.021,0.378,,0.022,0.022,0.019,1555059101351030719,0hdp,0,11nn,AACU,-3,27,-83,27,0.152,0.098075
206047001010039,154.529829363863,-59.1146054594228,STAR,0.615,,,STAR,1.0,,,284.3580068442331,-1.8879029576214703,J101807.16-590652.5,154.5298519,-59.1146062,0.0428,0.0382,169.5,11.252,11.366,10.085,8.588,12.031,11.408,11.295,0.023,0.022,0.062,0.385,0.026,0.022,0.024,1555059101351032738,0hO0,0,nnnn,AAAC,-108,32,-42,33,0.17,0.041756
206541101010006,245.484596562121,-49.9841379552181,QSO,0.681,,,STAR,0.996,,,333.66107844792504,-0.10564899011349839,J162156.29-495902.8,245.4845716,-49.9841193,0.0722,0.061,60.1,8.804,8.713,8.778,6.802,10.961,9.787,9.161,0.031,0.043,,,0.024,0.026,0.025,2461050001351030971,ddHD,1,00nn,AAUU,-299,46,4012,88,0.043,0.088642
206750701010003,178.627914255702,-63.0248515201172,STAR,0.89,,,,,,,296.52856006152854,-0.8630077821279967,J115430.69-630129.5,178.6278852,-63.0248674,0.0369,0.0346,131.2,7.798,7.842,7.88,7.96,8.126,8.003,7.914,0.025,0.02,0.03,0.204,0.023,0.033,0.027,1783063701351053377,0h00,0,111n,AAAB,25,25,12,24,0.204,0.074312
206950001010002,187.105616680238,-63.3496748572408,STAR,0.877,,,,,,,300.3543917545083,-0.5931690453901778,J122825.34-632058.8,187.1055998,-63.3496869,0.034,0.0317,143.6,7.225,7.251,6.756,5.448,7.848,7.474,7.333,0.027,0.02,0.019,0.042,0.032,0.047,0.031,1882063701351038104,0hd0,1,0011,AAAA,-51,30,-65,30,0.415,0.051307
207241905010001,156.4854295339,-57.8120770940062,QSO,0.481,,,,,,,284.51547121484947,-0.23939750487305045,J102556.50-574843.4,156.4854326,-57.812078,0.038,0.0359,133.7,7.372,7.214,6.351,4.611,8.808,8.2,7.833,0.028,0.02,0.033,0.058,0.034,0.04,0.026,1578057601351010951,00dD,1,231n,AAAA,-45,30,31,28,0.023,0.006764
207406401010004,237.08275727023,-53.771764248186,GALAXY,0.496,,,STAR,0.999,,,327.276045903407,0.5218421878295709,J154819.86-534618.3,237.0827862,-53.771768,0.042,0.0397,120.5,8.96,8.989,8.469,6.649,10.834,9.743,9.312,0.024,0.022,0.136,0.259,0.022,0.024,0.023,2374054601351053981,0000,0,0000,AABB,-72,39,-149,40,0.08,0.063001
207406401010040,237.07861942963,-53.858333223438,GALAXY,0.623,,,STAR,1.0,,,327.22039280080276,0.4554862287466437,J154818.86-535129.9,237.0785893,-53.8583297,0.0362,0.0334,112.0,8.064,8.033,8.388,6.679,11.755,9.622,8.688,0.022,0.018,0.136,,0.021,0.024,0.021,2374054601351053877,0phd,0,120n,AABU,-242,35,129,34,0.09,0.065166
207432001010021,255.437768232458,-43.2050738800804,QSO,0.577,,,,,,,343.25273959078334,-0.7685365576604104,J170145.06-431218.3,255.4377751,-43.205101,0.0715,0.0684,172.3,10.521,10.634,10.712,7.573,11.375,10.697,10.545,0.033,0.038,,,0.024,0.022,0.019,2559044001351059258,0opp,0,nnnn,AAUU,-55,64,-214,66,0.793,0.099344
207641101010014,196.43189267284,-62.833150790717,QSO,0.482,,,STAR,1.0,,,304.5621929964096,-0.00664453883610901,J130543.64-624959.4,196.4318707,-62.8331736,0.0422,0.0396,123.5,10.169,10.206,10.11,8.89,12.121,10.897,10.419,0.024,0.022,,,0.023,0.024,0.021,1957062101351002485,00OD,0,nnnn,AAUU,-133,35,141,35,0.085,0.089617
207800701010003,167.62784656556,-61.030015131074,QSO,0.619,,,,,,,291.0159475871171,-0.515012243391324,J111030.67-610147.9,167.6278317,-61.0299933,0.0487,0.0449,73.9,4.222,4.067,3.83,3.388,5.961,4.971,4.453,0.353,0.172,0.013,0.026,0.019,0.021,0.021,1680060601351012466,0hh0,0,0100,BBAA,145,28,-31,27,0.046,0.082772
207800701010005,167.829358012,-60.920079667432,STAR,0.609,,,,,,,291.064914087524,-0.3762770690682781,J111119.04-605512.2,167.8293519,-60.9200715,0.0388,0.036,137.0,6.979,7.048,7.025,5.251,7.422,7.251,7.139,0.05,0.02,0.035,0.094,0.02,0.046,0.029,1680060601351014535,00h0,1,0023,AAAA,-87,24,-69,24,0.054,0.031345
208042402010042,179.02033438095,-62.962851058415,QSO,0.722,,,STAR,1.0,,,296.68918394190695,-0.7640043782776504,J115604.87-625746.3,179.0203091,-62.9628724,0.0397,0.0366,141.6,9.536,9.606,10.085,8.922,10.77,10.001,9.78,0.023,0.021,0.37,,0.022,0.022,0.021,1783063701351051131,0000,0,22nn,AACU,27,24,4,24,0.124,0.087223
