srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
200088201010001,270.968412874597,-24.3605868825607,STAR,0.936,,,,,,,6.0089966317736705,-1.2048386832320779,J180352.43-242138.7,270.9684892,-24.3607537,0.0454,0.0413,93.1,5.879,5.647,-3.925,-1.824,5.747,5.748,5.731,0.062,0.024,,,0.027,0.036,0.024,2708024301351030862,00dd,3,33nn,AAUZ,55,33,62,31,0.243,0.650632
200088201010010,271.061047587018,-24.3651807618956,GALAXY,0.77,,,,,,,6.046423963539987,-1.2806140240113866,J180414.56-242154.1,271.0607077,-24.3650503,0.0423,0.0403,107.9,8.322,8.042,6.718,2.566,10.795,9.938,9.069,0.024,0.022,0.266,0.49,0.026,0.038,,2708024301351028925,hdHd,1,34nn,AABC,86,44,-91,42,1.416,1.209537
200088201010015,270.919642232195,-24.3781079368283,QSO,0.562,,,,,,,5.971902326003634,-1.1747519886517461,J180340.69-242241.2,270.9195557,-24.3781141,0.3333,0.2855,80.6,1.668,2.033,-5.492,,,,,,0.439,0.011,,,,,2708024301351030485,hhdD,3,n1nn,UCAX,3161,360,-1143,688,,0.284726
200088201010022,270.89833320227,-24.435074747288,GALAXY,0.668,,,,,,,5.9127410644441865,-1.1858512173545646,J180335.64-242606.1,270.8985069,-24.4350543,0.2043,0.1859,164.3,10.69,10.389,5.375,2.159,16.633,14.303,12.884,0.078,0.105,0.159,0.278,,0.081,0.073,2708024301351019827,dddD,3,000n,AABB,177,132,-280,143,1.213,0.573976
200088201010084,271.031063255016,-24.3736592761765,STAR,0.9,,,,,,,6.025629797329599,-1.2609749757492006,J180407.46-242226.5,271.0311069,-24.3740306,0.0479,0.0462,169.5,9.169,9.092,9.781,2.865,11.194,10.52,9.923,0.026,0.029,,,0.026,0.031,0.026,2708024301351029750,ddHd,1,10nn,AAUU,-121,64,113,59,1.646,1.344387
200088201010106,270.945629370192,-24.3677963390065,QSO,0.667,,,,,,,5.992518583815263,-1.190301980614801,J180346.90-242204.6,270.9454169,-24.3679449,0.0479,0.0454,100.2,8.818,8.369,,,12.568,11.6,11.061,0.027,0.023,,,0.024,0.022,0.021,2708024301351032781,hh00,3,22nn,AAXX,1136,48,-75,46,1.388,0.878269
200088201010125,270.967534564652,-24.3829310774009,GALAXY,0.836,,,,,,,5.989135631030173,-1.2151158254359165,J180352.29-242258.8,270.9678847,-24.383016,0.0643,0.0554,19.6,9.169,9.407,-1.642,-5.023,11.114,10.427,10.195,0.186,0.371,,,0.023,0.022,0.025,2708024301351032047,h0dd,3,00nn,BCUZ,0,410,0,310,1.124,1.187932
200088201010130,271.04507963716,-24.516313680598,GALAXY,0.7,,,,,,,5.907560356540927,-1.3420915386772005,J180410.70-243057.6,271.0446182,-24.5160147,0.1703,0.1162,146.2,10.317,10.375,9.191,4.326,12.524,11.685,11.005,0.069,0.077,,,,0.093,0.058,2708024301351020649,dhHD,1,nnnn,AAUU,,,,,0.844,1.85537
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,J180358.47-242459.1,270.9936591,-24.4164185,0.1036,0.0957,152.8,10.192,9.903,6.126,2.607,12.109,11.243,10.83,0.045,0.05,,,0.026,0.025,0.023,2708024301351020266,ddDD,1,10nn,AAUU,-438,83,-54,87,0.965,0.746565
200088201010187,271.02606187361,-24.554069223332,GALAXY,0.642,,,,,,,5.866161984070342,-1.3455423993484,J180406.21-243314.3,271.0258883,-24.5539808,0.0937,0.0863,161.9,10.679,10.986,9.075,5.93,13.401,11.711,11.029,0.041,0.045,,,0.024,0.023,0.02,2708024301351021587,00HH,1,22nn,AAUU,-309,110,-237,102,0.596,0.651314
200088201010189,271.128567068213,-24.4429635068482,QSO,0.517,,,STAR,1.0,,,6.008774252806048,-1.372342172315572,J180430.88-242634.5,271.1286708,-24.4429188,0.085,0.079,160.3,10.415,10.385,10.209,8.3,11.742,11.022,10.76,0.039,0.046,,,0.032,0.034,0.031,2708024301351021709,hOHD,1,1nnn,AAUU,-42,78,-36,86,0.21,0.376207
