srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,AllWISE,RAJ2000,DEJ2000,eeMaj,eeMin,eePA,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,e_Jmag,e_Hmag,e_Kmag,ID,ccf,ex,var,qph,pmRA,e_pmRA,pmDE,e_pmDE,d2M,angDist
200088201010001,270.968412874597,-24.3605868825607,STAR,0.936,,,,,,,6.0089966317736705,-1.2048386832320779,J180352.43-242138.7,270.9684892,-24.3607537,0.0454,0.0413,93.1,5.879,5.647,-3.925,-1.824,5.747,5.748,5.731,0.062,0.024,,,0.027,0.036,0.024,2708024301351030862,00dd,3,33nn,AAUZ,55,33,62,31,0.243,0.650632
200088201010010,271.061047587018,-24.3651807618956,GALAXY,0.77,,,,,,,6.046423963539987,-1.2806140240113866,J180414.56-242154.1,271.0607077,-24.3650503,0.0423,0.0403,107.9,8.322,8.042,6.718,2.566,10.795,9.938,9.069,0.024,0.022,0.266,0.49,0.026,0.038,,2708024301351028925,hdHd,1,34nn,AABC,86,44,-91,42,1.416,1.209537
200088201010015,270.919642232195,-24.3781079368283,QSO,0.562,,,,,,,5.971902326003634,-1.1747519886517461,J180340.69-242241.2,270.9195557,-24.3781141,0.3333,0.2855,80.6,1.668,2.033,-5.492,,,,,,0.439,0.011,,,,,2708024301351030485,hhdD,3,n1nn,UCAX,3161,360,-1143,688,,0.284726
200088201010022,270.89833320227,-24.435074747288,GALAXY,0.668,,,,,,,5.9127410644441865,-1.1858512173545646,J180335.64-242606.1,270.8985069,-24.4350543,0.2043,0.1859,164.3,10.69,10.389,5.375,2.159,16.633,14.303,12.884,0.078,0.105,0.159,0.278,,0.081,0.073,2708024301351019827,dddD,3,000n,AABB,177,132,-280,143,1.213,0.573976
200088201010026,270.94491855653,-24.413650814432,GALAXY,0.682,,,,,,,5.952252117999063,-1.2122650495787801,J180346.52-242448.8,270.9438452,-24.4135763,0.0931,0.0658,146.3,10.49,10.355,3.537,-1.338,15.024,13.394,12.107,0.074,0.11,,,,0.067,0.044,2708024301351019805,ddDd,3,00nn,ABUZ,4847,127,-4754,138,1.687,3.528942
200088201010037,270.92129434752,-24.441310295001,GALAXY,0.722,,,,,,,5.9175854283407165,-1.207120964838687,J180340.99-242625.1,270.9208078,-24.4403254,0.2345,0.1836,34.4,11.321,11.125,4.589,3.35,13.037,12.572,12.455,0.2,0.357,0.064,0.092,0.029,0.029,0.035,2708024301351019091,dddH,3,001n,BCAA,-2002,280,2185,260,1.429,3.887717
200088201010065,270.9588932375,-24.51951013934,GALAXY,0.735,,,,,,,5.866271965382809,-1.2753434705450328,J180350.42-243110.5,270.9600834,-24.5196036,0.0757,0.072,142.8,9.981,10.137,7.812,3.953,12.756,11.07,10.373,0.033,0.041,,,0.04,,,2708024301351018890,hdHH,0,00nn,AAUU,-56,69,-61,68,0.078,3.912583
200088201010070,270.721344607715,-24.3314766698984,QSO,0.66,,,,,,,5.923600940707124,-0.9945380625126803,J180252.98-241952.0,270.720785,-24.3311314,0.2354,0.2094,173.0,10.642,10.328,7.352,4.0,13.644,12.465,12.037,0.094,0.097,0.455,0.366,,,0.051,2708024301351032406,hddd,0,11n0,AACC,344,176,-174,197,0.538,2.21683
200088201010084,271.031063255016,-24.3736592761765,STAR,0.9,,,,,,,6.025629797329599,-1.2609749757492006,J180407.46-242226.5,271.0311069,-24.3740306,0.0479,0.0462,169.5,9.169,9.092,9.781,2.865,11.194,10.52,9.923,0.026,0.029,,,0.026,0.031,0.026,2708024301351029750,ddHd,1,10nn,AAUU,-121,64,113,59,1.646,1.344387
200088201010106,270.945629370192,-24.3677963390065,QSO,0.667,,,,,,,5.992518583815263,-1.190301980614801,J180346.90-242204.6,270.9454169,-24.3679449,0.0479,0.0454,100.2,8.818,8.369,,,12.568,11.6,11.061,0.027,0.023,,,0.024,0.022,0.021,2708024301351032781,hh00,3,22nn,AAXX,1136,48,-75,46,1.388,0.878269
200088201010108,270.93517946237,-24.438634744409,GALAXY,0.679,,,,,,,5.926128893340799,-1.2168160077024812,J180344.46-242622.1,270.9352905,-24.4394826,0.1519,0.1269,9.5,10.282,10.283,6.698,1.053,,,,0.069,0.154,0.055,0.059,,,,2708024301351019830,ddHd,3,00n3,ABAA,-4418,118,-6740,132,,3.073986
