srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
200074209010010,210.30674146621,-61.469239867577,STAR,0.462,,,,,,,311.16548514607916,0.28184839916849064,G311.1654+00.2818,210.306742,-61.469259,0.3,0.3,90.0,11.984,11.964,11.918,,0.049,0.077,0.136,,C,4.518,0.2043,2.945,0.2079,1.966,0.2455,,,00100000,00004000,00000000,,0.068967
200074216010013,211.37321877974,-62.009196363145,QSO,0.675,,,,,,,311.5026710479235,-0.3760413332118721,G311.5026-00.3760,211.373176,-62.009203,0.3,0.3,90.0,13.406,13.46,,,0.099,0.154,,,C,1.22,0.1112,0.7419,0.1049,,,,,00010000,00000000,,,0.075921
200074250010002,211.24608860504,-61.215323408256,QSO,0.51,,,STAR,1.0,,,311.6682841874021,0.40271381888661395,G311.6682+00.4027,211.246108,-61.215326,0.3,0.3,90.0,12.981,12.72,12.215,,0.103,0.128,0.23,,C,1.803,0.1705,1.467,0.1734,1.495,0.3167,,,00100040,00000000,00002400,,0.034937
200879402010021,206.588253639134,-62.8149024000397,QSO,0.448,,,,,,,309.1568868216211,-0.608754687012829,G309.1568-00.6087,206.588257,-62.814923,0.3,0.3,90.0,13.11,13.155,12.73,11.998,0.089,0.145,0.277,0.241,C,1.601,0.1314,0.9833,0.1311,0.93,0.2372,1.018,0.2259,00004000,00004000,00000000,00000200,0.074547
200936705010041,258.572078716152,-39.8951636403601,GALAXY,0.774,,,,,,,347.30782283673386,-0.6651845256027018,G347.3078-00.6651,258.572052,-39.895157,0.3,0.3,90.0,9.16,9.178,9.109,9.039,0.036,0.041,0.04,0.034,C,60.91,2.016,38.3,1.44,26.12,0.9727,15.54,0.4864,00000200,00002000,00002000,00002000,0.077583
200986102010036,247.0059493696,-49.409614320175,GALAXY,0.43,,,,,,,334.7600924203788,-0.40659600107567134,G334.7600-00.4065,247.005918,-49.4096,0.3,0.3,90.0,13.777,13.712,,,0.076,0.212,,,C,0.8667,0.06101,0.5883,0.1149,,,,,00004000,00004004,,,0.089669
201094901010182,253.599147588694,-42.0285531662053,QSO,0.538,,,STAR,0.998,,,343.3332599350761,1.022588849241745,G343.3332+01.0226,253.599141,-42.028534,0.3,0.3,90.0,11.918,11.803,11.955,11.981,0.043,0.082,0.122,0.228,C,4.802,0.1914,3.414,0.2563,1.9,0.2141,1.035,0.2175,00000000,00000000,00000000,00000000,0.0711
201491802010019,243.23691745976,-52.456831972759,GALAXY,0.965,,,,,,,330.9288385476085,-0.8991987174168846,G330.9288-00.8992,243.236908,-52.456854,0.3,0.3,90.0,15.162,,,,0.17,,,,A,0.2419,0.03781,,,,,,,00001000,,,,0.081942
202010004015059,247.939999229365,-48.85290745775,QSO,0.562,,,,,,,335.5846114835749,-0.4669796737039866,G335.5845-00.4669,247.939998,-48.852933,0.3,0.3,90.0,13.522,13.542,,,0.097,0.173,,,C,1.096,0.09794,0.6884,0.1098,,,,,00000000,00002000,,,0.092182
202063802010013,250.010249905973,-46.533464869966,QSO,0.566,,,STAR,1.0,,,338.23712106424165,0.06650657318920612,G338.2371+00.0665,250.010257,-46.533441,0.3,0.3,90.0,8.325,8.471,8.352,8.331,0.049,0.054,0.04,0.031,C,131.4,5.972,73.45,3.645,52.48,1.949,29.84,0.84,00000000,00000000,00000000,00000000,0.087897
202063807015061,251.79697664747,-45.423091382448,GALAXY,0.723,,,,,,,339.88952131903727,-0.14310843504368065,G339.8895-00.1431,251.796992,-45.42308,0.3,0.3,90.0,10.578,10.932,10.356,10.374,0.081,0.164,0.052,0.061,C,16.49,1.234,7.615,1.15,8.281,0.3956,4.544,0.2563,00004440,00084480,00008000,00000000,0.056621
202070502010064,228.489276397935,-59.0059058584676,GALAXY,0.947,,,,,,,320.39147594206116,-1.0528160577234489,G320.3914-01.0528,228.489312,-59.005899,0.3,0.3,90.0,14.112,14.096,,,0.105,0.193,,,C,0.6362,0.06147,0.4133,0.07351,,,,,00000000,00000000,,,0.070412
203023401010001,196.15104406249,-63.284153471706,GALAXY,0.696,,,,,,,304.41109750967007,-0.4502261074590843,G304.4110-00.4502,196.150988,-63.28415,0.3,0.3,90.0,12.53,12.176,11.893,11.944,0.051,0.06,0.082,0.078,C,2.732,0.1292,2.422,0.1345,2.011,0.1523,1.07,0.07662,00000000,00006000,00002000,00002000,0.091425
203031001010004,249.81032202108,-47.005857023904,STAR,0.5,,,,,,,337.79325718887463,-0.1453680291201017,G337.7932-00.1453,249.810337,-47.005844,0.3,0.3,90.0,11.773,11.771,11.634,11.514,0.027,0.05,0.075,0.236,C,5.487,0.1379,3.516,0.1608,2.553,0.1752,1.59,0.3456,00000200,00000000,00000600,00008400,0.059696
203034401010002,195.24994192824,-63.20417877934,QSO,0.681,,,,,,,304.0093471138937,-0.35243618602545507,G304.0093-00.3524,195.24997,-63.204198,0.3,0.3,90.0,14.927,,,,0.139,,,,A,0.3005,0.03836,,,,,,,00001000,,,,0.082818
203071702010016,249.60420941601,-47.455657957321,GALAXY,0.389,,,,,,,337.3647533089172,-0.34106470332813776,G337.3647-00.3410,249.604241,-47.455663,0.3,0.3,90.0,6.601,6.196,6.019,5.519,0.07,0.049,0.032,0.026,C,643.2,41.26,597.2,26.86,449.7,13.1,397.6,9.545,00004480,00004080,00008000,00008000,0.078717
