srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
200088201010001,270.968412874597,-24.3605868825607,STAR,0.936,,,,,,,6.0089966317736705,-1.2048386832320779,G006.0089-01.2050,270.968543,-24.360739,0.3,0.3,90.0,6.516,,5.737,5.757,0.114,,0.033,0.027,C,695.5,72.84,,,583.6,17.81,319.3,7.855,000004c0,,00000200,00008400,0.694348
200088201010002,271.147152846197,-24.4582910859771,QSO,0.559,,,,,,,6.003703488155112,-1.3946017472547516,G006.0036-01.3947,271.14723,-24.458407,0.3,0.3,90.0,11.474,11.514,11.496,11.922,0.056,0.056,0.079,0.236,C,7.229,0.376,4.455,0.2308,2.9,0.2115,1.092,0.2369,00100040,00100000,00000000,00000400,0.487891
200088201010005,270.986655762018,-24.3123702039675,GALAXY,0.553,,,,,,,6.059172462937272,-1.1956395322605817,G006.0591-01.1958,270.986853,-24.312535,0.3,0.3,90.0,7.144,7.149,7.112,7.272,0.042,0.044,0.032,0.104,C,390.0,15.21,248.2,10.17,164.4,4.85,79.08,7.574,00000000,00000000,00000200,00008400,0.877721
200088201010006,270.85437749567,-24.400100557514,GALAXY,0.59,,,,,,,5.923518515445311,-1.1338029510231473,G005.9237-01.1338,270.854601,-24.399915,0.3,0.3,90.0,13.568,,,,0.157,,,,A,1.05,0.1522,,,,,,,00000600,,,,0.991364
200088201010010,271.061047587018,-24.3651807618956,GALAXY,0.77,,,,,,,6.046423963539987,-1.2806140240113866,G006.0464-01.2803,271.060758,-24.365042,0.3,0.3,90.0,8.232,8.061,7.727,7.698,0.135,0.079,0.04,0.029,C,143.2,17.79,107.2,7.778,93.34,3.479,53.45,1.435,00000400,00000400,00108200,00108400,1.072751
200088201010019,270.9737006633,-24.442311023015,GALAXY,0.668,,,,,,,5.940156006394553,-1.2491688675969261,G005.9400-01.2490,270.973517,-24.442293,0.3,0.3,90.0,12.974,,,,0.119,,,,A,1.816,0.1986,,,,,,,00100200,,,,0.605592
200088201010026,270.94491855653,-24.413650814432,GALAXY,0.682,,,,,,,5.952252117999063,-1.2122650495787801,G005.9520-01.2124,270.945042,-24.413919,0.3,0.3,90.0,12.737,12.596,,,0.094,0.138,,,C,2.258,0.1958,1.644,0.2088,,,,,00000600,00000600,,,1.046616
200088201010028,270.958509041044,-24.3523039968863,STAR,0.763,,,,,,,6.01178067146452,-1.1929113274824674,G006.0118-01.1929,270.958628,-24.352253,0.3,0.3,90.0,11.377,11.136,,,0.075,0.194,,,C,7.9,0.5433,6.312,1.128,,,,,00000200,00080480,,,0.431067
200088201010029,270.91776919119,-24.3888244267287,STAR,0.503,,,,,,,5.9617286638679845,-1.178532694546678,G005.9617-01.1786,270.917862,-24.388845,0.3,0.3,90.0,10.461,10.419,,,0.079,0.138,,,C,18.38,1.338,12.22,1.558,,,,,00000140,00000540,,,0.312956
200088201010034,270.886319577447,-24.3624731205812,GALAXY,0.744,,,,,,,5.970597930758199,-1.1406333198536853,G005.9708-01.1408,270.886652,-24.36237,0.3,0.3,90.0,10.786,10.359,9.557,,0.078,0.05,0.112,,C,13.62,0.9756,12.91,0.5959,17.3,1.788,,,00000400,00000600,00000400,,1.151595
