srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
200088201010044,270.83675305373,-24.334797356706,GALAXY,0.735,,,,,,,5.972487514134908,-1.0877031575172087,G005.9724-01.0876,270.836683,-24.334768,0.3,0.3,90.0,12.845,12.51,,,0.086,0.156,,,C,2.044,0.162,1.781,0.2564,,,,,00000200,00000000,,,0.252736
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,G005.9718-01.2524,270.993905,-24.416284,0.3,0.3,90.0,10.363,10.028,9.551,8.876,0.035,0.058,0.053,0.051,C,20.1,0.6501,17.52,0.9396,17.39,0.8413,18.06,0.8548,00000200,00000000,00000000,00000400,0.203247
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,G006.1264-01.3151,271.137171,-24.31235,0.3,0.3,90.0,9.858,9.82,9.695,9.523,0.04,0.044,0.062,0.04,C,32.0,1.191,21.21,0.8609,15.23,0.8742,9.954,0.3685,00000000,00000000,00000000,00008400,0.069013
200088201010381,271.02851766413,-24.526136299279,GALAXY,0.677,,,,,,,5.891603598238897,-1.3337815789640188,G005.8916-01.3338,271.028577,-24.526121,0.3,0.3,90.0,13.793,13.958,,,0.096,0.285,,,C,0.8537,0.0757,0.4693,0.1233,,,,,00000200,00000200,,,0.202251
200088201010401,271.120250566723,-24.2339940242615,QSO,0.614,,,STAR,1.0,,,6.187248425335261,-1.2633032411887788,G006.1872-01.2633,271.120288,-24.234034,0.3,0.3,90.0,8.806,8.502,7.691,6.655,0.038,0.034,0.036,0.024,C,84.39,2.945,71.42,2.255,96.49,3.205,139.6,3.088,00000040,00000000,00000000,00008000,0.188857
200088201010584,270.997746357522,-24.206509044335,QSO,0.606,,,STAR,1.0,,,6.156378510931703,-1.1524680863425678,G006.1563-01.1524,270.997735,-24.206536,0.3,0.3,90.0,11.946,11.979,11.947,11.657,0.055,0.082,0.142,0.16,C,4.679,0.2385,2.904,0.2201,1.914,0.2509,1.394,0.2056,00000000,00000000,00000000,00000000,0.104115
200088201010681,271.069150118811,-24.2940531808055,QSO,0.377,,,,,,,6.1120430808059725,-1.2521557134436034,G006.1120-01.2522,271.069228,-24.294085,0.3,0.3,90.0,12.178,12.214,,,0.059,0.159,,,C,3.779,0.2041,2.338,0.3415,,,,,00004200,00000400,,,0.279883
200509401010013,270.780443067493,-29.9573885300914,STAR,0.749,,,STAR,1.0,,,1.044255400440788,-3.8038380144735897,G001.0442-03.8038,270.780462,-29.957447,0.3,0.3,90.0,8.982,9.084,9.016,9.016,0.029,0.037,0.03,0.021,C,71.72,1.932,41.77,1.428,28.46,0.774,15.87,0.313,00004000,00000000,00008000,00000000,0.218821
200509401010045,270.914118034397,-30.0349114720487,GALAXY,0.56,,,STAR,1.0,,,1.033160266722234,-3.9427266320537884,G001.0332-03.9427,270.914158,-30.034845,0.3,0.3,90.0,13.548,13.566,12.749,,0.078,0.12,0.303,,C,1.07,0.07666,0.6729,0.07429,0.9144,0.2548,,,00000000,00004000,00000000,,0.269945
200509401010054,270.616423467477,-30.0009816457799,STAR,0.372,,,GALAXY,0.971,,,0.9364405326406949,-3.701312960249941,G000.9364-03.7013,270.616517,-30.000982,0.3,0.3,90.0,11.818,11.784,11.533,11.647,0.044,0.057,0.086,0.06,C,5.267,0.2128,3.475,0.1829,2.802,0.2229,1.406,0.07736,00000140,00000040,00000000,00008000,0.291815
200509401010063,270.849590402696,-30.0453331633902,GALAXY,0.441,,,STAR,1.0,,,0.9967018393839432,-3.8990695019655406,G000.9966-03.8990,270.849557,-30.045327,0.3,0.3,90.0,12.107,12.097,12.095,12.402,0.049,0.086,0.106,0.109,C,4.033,0.1833,2.604,0.2064,1.669,0.1636,0.7016,0.07075,00100000,00000000,00000000,00000000,0.106704
200509402010002,269.41320787815,-30.092313481238,STAR,0.628,,,STAR,1.0,,,0.3409666650082369,-2.8412677003387157,G000.3409-02.8412,269.413152,-30.092358,0.3,0.3,90.0,9.715,9.77,9.708,9.663,0.031,0.051,0.041,0.024,C,36.51,1.052,22.2,1.036,15.05,0.565,8.75,0.1894,00000000,00000000,00000000,00000000,0.236628
200509402010015,269.26635017868,-29.989315239241,QSO,0.658,,,STAR,1.0,,,0.3667295787440263,-2.679686400084045,G000.3666-02.6797,269.266328,-29.98938,0.3,0.3,90.0,,11.472,11.637,,,0.091,0.175,,A,,,4.63,0.3882,2.546,0.4098,,,,00000000,00000000,,0.2431
200855805010007,268.64443873328,-30.0193768853726,QSO,0.6,,,,,,,0.0699491068380398,-2.2290853707945306,G000.0699-02.2290,268.644427,-30.019379,0.3,0.3,90.0,9.202,9.224,9.165,9.12,0.031,0.031,0.032,0.019,C,58.56,1.659,36.73,1.058,24.82,0.7295,14.42,0.253,00000040,00000000,00000000,00008000,0.037186
200997602010001,269.15766396191,-21.635265577662,STAR,0.958,,,,,,,7.546771765776725,1.5952680706156954,G007.5467+01.5952,269.157742,-21.635282,0.3,0.3,90.0,9.17,9.118,9.077,9.057,0.049,0.056,0.032,0.032,C,60.31,2.73,40.49,2.096,26.9,0.7902,15.29,0.4456,00000540,00000000,00000000,00008000,0.267862
200997602010020,269.210887364551,-21.8167708498931,GALAXY,0.516,,,STAR,0.953,,,7.414513894498704,1.4614433943738734,G007.4144+01.4614,269.210923,-21.816805,0.3,0.3,90.0,11.607,11.652,11.396,11.487,0.046,0.052,0.066,0.055,C,6.394,0.2737,3.923,0.1872,3.18,0.1941,1.63,0.08197,00100000,00100000,00000000,00000000,0.171081
200997602010023,269.31663708539,-21.691376627999,QSO,0.499,,,,,,,7.572299361197151,1.4393009500241463,G007.5722+01.4392,269.316702,-21.691417,0.3,0.3,90.0,4.155,4.52,3.985,3.901,0.062,0.033,0.02,0.016,A,6116.0,351.4,2795.0,85.19,2928.0,53.99,1764.0,25.31,00006000,000c6000,0000a000,0000a000,0.260944
200997602010024,269.47369710417,-21.815794719214,QSO,0.45,,,STAR,1.0,,,7.537576091819325,1.250742253229139,G007.5374+01.2507,269.473677,-21.815871,0.3,0.3,90.0,8.963,8.968,8.888,8.822,0.033,0.051,0.035,0.027,C,72.99,2.188,46.49,2.199,32.01,1.029,18.97,0.4756,00000000,00000000,00000000,00000000,0.282776
201032619010011,270.24985582299,-24.857773146549,GALAXY,0.746,,,STAR,0.984,,,5.25412594775384,-0.8818255681141614,G005.2540-00.8818,270.249882,-24.857848,0.3,0.3,90.0,12.984,12.798,12.853,12.859,0.046,0.069,0.304,0.333,C,1.799,0.07666,1.366,0.08686,0.8308,0.2324,0.4607,0.1415,00000000,00000000,00000400,00002400,0.282862
201122015010209,269.40733460378,-24.405082793719,GALAXY,0.649,,,,,,,5.265148947805638,0.007746834445048614,G005.2650+00.0077,269.407327,-24.405145,0.3,0.3,90.0,11.977,12.027,11.941,,0.051,0.082,0.16,,C,4.548,0.2136,2.778,0.2093,1.924,0.2836,,,00000340,00000200,00000400,,0.225524
201122015010222,269.32662194728,-24.539257141754,GALAXY,0.66,,,,,,,5.112224017901135,0.004095776944416014,G005.1122+00.0040,269.32666,-24.539257,0.3,0.3,90.0,12.505,12.177,11.794,,0.076,0.066,0.141,,C,2.797,0.1968,2.419,0.1467,2.203,0.2866,,,00000040,00000440,00000200,,0.124348
201129701010003,267.391975666713,-28.1036762549095,STAR,0.863,,,STAR,1.0,,,1.1611422047183166,-0.31121898866106773,G001.1611-00.3112,267.391952,-28.10368,0.3,0.3,90.0,10.711,10.637,10.507,10.652,0.021,0.048,0.032,0.049,C,14.59,0.2886,9.995,0.4422,7.209,0.215,3.519,0.1585,00004340,00004200,00008201,00008600,0.076246
201129701010009,267.212130420726,-28.2461036397467,STAR,0.496,,,,,,,0.9574310931582033,-0.24859468912141958,G000.9574-00.2486,267.212212,-28.246113,0.3,0.3,90.0,4.941,5.924,4.865,4.817,0.034,0.163,0.015,0.012,A,2965.0,92.24,767.5,115.2,1302.0,18.12,758.9,8.349,000c4040,00004400,00008000,00088000,0.261142
201129701010016,267.082148548987,-28.1241589052228,GALAXY,0.733,,,,,,,1.0028160137212605,-0.08754536388753527,G001.0028-00.0875,267.082187,-28.124159,0.3,0.3,90.0,4.071,,3.714,3.554,0.159,,0.016,0.032,A,6611.0,967.2,,,3759.0,53.87,2430.0,70.8,000c0040,,00008400,000c8000,0.121881
201129701010045,267.260655402627,-28.3100174809611,QSO,0.54,,,,,,,0.9246622123932513,-0.31814608274579903,G000.9247-00.3181,267.260705,-28.309952,0.3,0.3,90.0,12.15,11.744,11.738,11.298,0.031,0.046,0.06,0.1,C,3.878,0.1111,3.605,0.1538,2.32,0.1281,1.94,0.1783,00000240,00000200,00000600,00000200,0.283264
201129702010015,266.823699612125,-27.977240442997,QSO,0.484,,,STAR,1.0,,,1.0106147815915303,0.18365367965514598,G001.0105+00.1836,266.823696,-27.977265,0.3,0.3,90.0,11.721,11.567,11.636,11.609,0.051,0.059,0.085,0.174,C,5.758,0.2729,4.243,0.2315,2.548,0.1998,1.458,0.2339,00000540,00004400,00000600,00002200,0.089192
201129702010030,266.86695619236,-28.0730292564938,QSO,0.545,,,,,,,0.9484466146593442,0.10138165101343652,G000.9484+00.1014,266.866957,-28.072977,0.3,0.3,90.0,11.619,11.549,11.555,,0.04,0.054,0.08,,C,6.325,0.2357,4.316,0.2154,2.746,0.2021,,,00000340,00000540,00000600,,0.18833
201129702010036,266.596543169645,-28.1990790819979,QSO,0.504,,,,,,,0.7169927220390528,0.23987532002046463,G000.7170+00.2398,266.596592,-28.199063,0.3,0.3,90.0,11.723,11.736,11.721,,0.115,0.168,0.225,,C,5.743,0.6108,3.632,0.5622,2.356,0.4892,,,00000540,00000400,00000400,,0.165311
201129704010013,266.570793534558,-28.7052701349381,GALAXY,0.702,,,,,,,0.2727740895099946,-0.0038722182854555192,G000.2727-00.0038,266.570792,-28.705241,0.3,0.3,90.0,12.382,12.172,,,0.085,0.106,,,C,3.131,0.2445,2.43,0.2382,,,,,00000740,00000600,,,0.10513
201129704010035,266.383538908618,-28.7875643030074,STAR,0.578,,,,,,,0.11705107980356681,0.09347609057697333,G000.1170+00.0934,266.383632,-28.787569,0.3,0.3,90.0,6.991,6.568,6.446,6.45,0.05,0.027,0.022,0.022,C,448.8,20.79,424.0,10.61,303.7,6.038,168.7,3.42,000005c0,000802c0,00008200,00008200,0.294032
201129704010079,266.721768769907,-28.4752105986372,STAR,0.402,,,,,,,0.5382225693379885,0.002307659508496916,G000.5381+00.0023,266.721695,-28.475236,0.3,0.3,90.0,11.531,11.535,11.387,,0.041,0.066,0.093,,C,6.857,0.257,4.371,0.2651,3.205,0.2737,,,00000200,00002600,00002600,,0.25095
201129704010084,266.565570074948,-28.5865965252082,GALAXY,0.424,,,STAR,1.0,,,0.37176835913450357,0.06173706291263303,G000.3717+00.0617,266.565555,-28.586567,0.3,0.3,90.0,8.48,8.571,8.472,8.451,0.025,0.028,0.024,0.029,C,113.9,2.625,67.02,1.759,46.99,1.058,26.71,0.707,00000200,00000740,00008200,00008200,0.116216
201129704010097,266.592223594342,-28.6568626653336,GALAXY,0.483,,,,,,,0.32390101682373745,0.005226490115424722,G000.3238+00.0051,266.592261,-28.656926,0.3,0.3,90.0,8.462,8.472,8.392,8.445,0.083,0.041,0.039,0.044,C,115.9,8.867,73.44,2.801,50.59,1.794,26.86,1.08,00000440,00004600,00008400,00008200,0.257031
201129705010092,266.389219588765,-28.8911142504739,GALAXY,0.615,,,,,,,0.03126894251749998,0.03526278971149798,G000.0313+00.0353,266.389197,-28.891039,0.3,0.3,90.0,12.54,12.138,,,0.126,0.157,,,C,2.707,0.3146,2.507,0.3632,,,,,00000600,00000200,,,0.279965
201129706010004,266.662730998098,-28.897656155083,GALAXY,0.971,,,,,,,0.15024036956187745,-0.17265760377296047,G000.1502-00.1726,266.662786,-28.897644,0.3,0.3,90.0,8.278,8.277,8.245,8.205,0.031,0.031,0.026,0.026,C,137.1,3.897,87.87,2.533,57.91,1.413,33.51,0.808,00000740,00000540,00008400,00008000,0.178773
201129713010114,270.38412715963,-25.534663994149,GALAXY,0.662,,,,,,,4.726005035697557,-1.3224332223164459,G004.7259-01.3223,270.384062,-25.534638,0.3,0.3,90.0,11.854,11.819,11.721,11.635,0.081,0.094,0.116,0.148,C,5.091,0.3813,3.365,0.2919,2.358,0.251,1.422,0.1933,00104540,00000040,00008000,00008000,0.231204
201129713010201,270.275365186519,-25.6508438775301,STAR,0.685,,,,,,,4.5764701343482885,-1.2946738292297826,G004.5764-01.2946,270.275307,-25.650881,0.3,0.3,90.0,11.083,11.102,11.107,11.272,0.039,0.066,0.062,0.087,C,10.36,0.3749,6.513,0.3957,4.149,0.2365,1.987,0.1589,00000200,00000000,00000000,00000400,0.231602
201129713010204,270.39159185947,-25.626458286067,GALAXY,0.695,,,,,,,4.649522599429694,-1.3736699297082835,G004.6494-01.3737,270.391597,-25.626511,0.3,0.3,90.0,13.472,13.743,,,0.096,0.227,,,C,1.147,0.1016,0.5718,0.1197,,,,,00000040,00000000,,,0.190432
201129715010004,266.873897773329,-28.4809313521906,STAR,0.419,,,,,,,0.6026270171180715,-0.11502177024365644,G000.6026-00.1150,266.873958,-28.48094,0.3,0.3,90.0,11.985,11.874,,,0.047,0.08,,,C,4.513,0.1959,3.197,0.2358,,,,,00000740,00000640,,,0.193439
201129715010025,266.830913459453,-28.5704746683829,STAR,0.63,,,,,,,0.5064675379383837,-0.12908175785921033,G000.5064-00.1290,266.830897,-28.570447,0.3,0.3,90.0,7.686,7.756,7.682,7.627,0.036,0.031,0.032,0.024,C,236.8,7.818,141.9,4.089,97.24,2.861,57.07,1.258,00000440,00000400,00008600,00008201,0.112347
