srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,G006.1264-01.3151,271.137171,-24.31235,0.3,0.3,90.0,9.858,9.82,9.695,9.523,0.04,0.044,0.062,0.04,C,32.0,1.191,21.21,0.8609,15.23,0.8742,9.954,0.3685,00000000,00000000,00000000,00008400,0.069013
200088201010401,271.120250566723,-24.2339940242615,QSO,0.614,,,STAR,1.0,,,6.187248425335261,-1.2633032411887788,G006.1872-01.2633,271.120288,-24.234034,0.3,0.3,90.0,8.806,8.502,7.691,6.655,0.038,0.034,0.036,0.024,C,84.39,2.945,71.42,2.255,96.49,3.205,139.6,3.088,00000040,00000000,00000000,00008000,0.188857
200088201010584,270.997746357522,-24.206509044335,QSO,0.606,,,STAR,1.0,,,6.156378510931703,-1.1524680863425678,G006.1563-01.1524,270.997735,-24.206536,0.3,0.3,90.0,11.946,11.979,11.947,11.657,0.055,0.082,0.142,0.16,C,4.679,0.2385,2.904,0.2201,1.914,0.2509,1.394,0.2056,00000000,00000000,00000000,00000000,0.104115
200509401010063,270.849590402696,-30.0453331633902,GALAXY,0.441,,,STAR,1.0,,,0.9967018393839432,-3.8990695019655406,G000.9966-03.8990,270.849557,-30.045327,0.3,0.3,90.0,12.107,12.097,12.095,12.402,0.049,0.086,0.106,0.109,C,4.033,0.1833,2.604,0.2064,1.669,0.1636,0.7016,0.07075,00100000,00000000,00000000,00000000,0.106704
200855805010007,268.64443873328,-30.0193768853726,QSO,0.6,,,,,,,0.0699491068380398,-2.2290853707945306,G000.0699-02.2290,268.644427,-30.019379,0.3,0.3,90.0,9.202,9.224,9.165,9.12,0.031,0.031,0.032,0.019,C,58.56,1.659,36.73,1.058,24.82,0.7295,14.42,0.253,00000040,00000000,00000000,00008000,0.037186
200997602010020,269.210887364551,-21.8167708498931,GALAXY,0.516,,,STAR,0.953,,,7.414513894498704,1.4614433943738734,G007.4144+01.4614,269.210923,-21.816805,0.3,0.3,90.0,11.607,11.652,11.396,11.487,0.046,0.052,0.066,0.055,C,6.394,0.2737,3.923,0.1872,3.18,0.1941,1.63,0.08197,00100000,00100000,00000000,00000000,0.171081
201122015010222,269.32662194728,-24.539257141754,GALAXY,0.66,,,,,,,5.112224017901135,0.004095776944416014,G005.1122+00.0040,269.32666,-24.539257,0.3,0.3,90.0,12.505,12.177,11.794,,0.076,0.066,0.141,,C,2.797,0.1968,2.419,0.1467,2.203,0.2866,,,00000040,00000440,00000200,,0.124348
201129701010003,267.391975666713,-28.1036762549095,STAR,0.863,,,STAR,1.0,,,1.1611422047183166,-0.31121898866106773,G001.1611-00.3112,267.391952,-28.10368,0.3,0.3,90.0,10.711,10.637,10.507,10.652,0.021,0.048,0.032,0.049,C,14.59,0.2886,9.995,0.4422,7.209,0.215,3.519,0.1585,00004340,00004200,00008201,00008600,0.076246
201129701010016,267.082148548987,-28.1241589052228,GALAXY,0.733,,,,,,,1.0028160137212605,-0.08754536388753527,G001.0028-00.0875,267.082187,-28.124159,0.3,0.3,90.0,4.071,,3.714,3.554,0.159,,0.016,0.032,A,6611.0,967.2,,,3759.0,53.87,2430.0,70.8,000c0040,,00008400,000c8000,0.121881
201129702010015,266.823699612125,-27.977240442997,QSO,0.484,,,STAR,1.0,,,1.0106147815915303,0.18365367965514598,G001.0105+00.1836,266.823696,-27.977265,0.3,0.3,90.0,11.721,11.567,11.636,11.609,0.051,0.059,0.085,0.174,C,5.758,0.2729,4.243,0.2315,2.548,0.1998,1.458,0.2339,00000540,00004400,00000600,00002200,0.089192
201129702010030,266.86695619236,-28.0730292564938,QSO,0.545,,,,,,,0.9484466146593442,0.10138165101343652,G000.9484+00.1014,266.866957,-28.072977,0.3,0.3,90.0,11.619,11.549,11.555,,0.04,0.054,0.08,,C,6.325,0.2357,4.316,0.2154,2.746,0.2021,,,00000340,00000540,00000600,,0.18833
201129702010036,266.596543169645,-28.1990790819979,QSO,0.504,,,,,,,0.7169927220390528,0.23987532002046463,G000.7170+00.2398,266.596592,-28.199063,0.3,0.3,90.0,11.723,11.736,11.721,,0.115,0.168,0.225,,C,5.743,0.6108,3.632,0.5622,2.356,0.4892,,,00000540,00000400,00000400,,0.165311
201129704010013,266.570793534558,-28.7052701349381,GALAXY,0.702,,,,,,,0.2727740895099946,-0.0038722182854555192,G000.2727-00.0038,266.570792,-28.705241,0.3,0.3,90.0,12.382,12.172,,,0.085,0.106,,,C,3.131,0.2445,2.43,0.2382,,,,,00000740,00000600,,,0.10513
201129704010084,266.565570074948,-28.5865965252082,GALAXY,0.424,,,STAR,1.0,,,0.37176835913450357,0.06173706291263303,G000.3717+00.0617,266.565555,-28.586567,0.3,0.3,90.0,8.48,8.571,8.472,8.451,0.025,0.028,0.024,0.029,C,113.9,2.625,67.02,1.759,46.99,1.058,26.71,0.707,00000200,00000740,00008200,00008200,0.116216
201129706010004,266.662730998098,-28.897656155083,GALAXY,0.971,,,,,,,0.15024036956187745,-0.17265760377296047,G000.1502-00.1726,266.662786,-28.897644,0.3,0.3,90.0,8.278,8.277,8.245,8.205,0.031,0.031,0.026,0.026,C,137.1,3.897,87.87,2.533,57.91,1.413,33.51,0.808,00000740,00000540,00008400,00008000,0.178773
201129713010204,270.39159185947,-25.626458286067,GALAXY,0.695,,,,,,,4.649522599429694,-1.3736699297082835,G004.6494-01.3737,270.391597,-25.626511,0.3,0.3,90.0,13.472,13.743,,,0.096,0.227,,,C,1.147,0.1016,0.5718,0.1197,,,,,00000040,00000000,,,0.190432
201129715010004,266.873897773329,-28.4809313521906,STAR,0.419,,,,,,,0.6026270171180715,-0.11502177024365644,G000.6026-00.1150,266.873958,-28.48094,0.3,0.3,90.0,11.985,11.874,,,0.047,0.08,,,C,4.513,0.1959,3.197,0.2358,,,,,00000740,00000640,,,0.193439
201129715010025,266.830913459453,-28.5704746683829,STAR,0.63,,,,,,,0.5064675379383837,-0.12908175785921033,G000.5064-00.1290,266.830897,-28.570447,0.3,0.3,90.0,7.686,7.756,7.682,7.627,0.036,0.031,0.032,0.024,C,236.8,7.818,141.9,4.089,97.24,2.861,57.07,1.258,00000440,00000400,00008600,00008201,0.112347
201357428010007,270.51502685469,-22.728095504702,STAR,0.564,,,,,,,7.224954596376518,-0.03888865395725034,G007.2249-00.0388,270.514997,-22.72805,0.3,0.3,90.0,12.26,12.502,,,0.198,0.18,,,A,3.505,0.6407,1.794,0.2976,,,,,00000200,00000040,,,0.191486
201359601010122,267.88416933285,-26.772540091675,GALAXY,0.662,,,,,,,2.5280931643815716,-0.0043172291951395145,G002.5280-00.0043,267.884157,-26.772557,0.3,0.3,90.0,12.842,12.743,,,0.108,0.16,,,C,2.05,0.2038,1.437,0.2113,,,,,00000600,00000400,,,0.072801
201361402015192,270.04064951378,-25.769878724042,STAR,0.513,,,,,,,4.368189904172652,-1.1700470437093287,G004.3682-01.1700,270.040623,-25.769847,0.3,0.3,90.0,12.164,12.07,11.834,,0.054,0.067,0.117,,C,3.829,0.1893,2.669,0.1645,2.124,0.2284,,,00004040,00004000,00000000,,0.142936
201416106010027,272.325765196784,-23.5771557897428,QSO,0.642,,,,,,,7.297874422885977,-1.906340206447498,G007.2978-01.9063,272.325732,-23.577139,0.3,0.3,90.0,12.13,12.016,11.906,11.733,0.039,0.085,0.078,0.1,C,3.951,0.1436,2.807,0.2196,1.987,0.1432,1.299,0.1194,00000140,00000000,00008000,00008000,0.125089
