srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,GLIMPSE,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,3.6mag,4.5mag,5.8mag,8.0mag,e_3.6mag,e_4.5mag,e_5.8mag,e_8.0mag,C,F(3.6),e_F(3.6),F(4.5),e_F(4.5),F(5.8),e_F(5.8),F(8.0),e_F(8.0),q_3.6mag,q_4.5mag,q_5.8mag,q_8.0mag,angDist
207831601010060,267.26544902119,-27.802969667667,GALAXY,0.458,,,STAR,1.0,,,1.3614966403292408,-0.06067090099139009,G001.3614-00.0606,267.265387,-27.803042,0.3,0.3,90.0,13.111,,,,0.164,,,,A,1.599,0.2416,,,,,,,00000240,,,,0.326866
207831601010093,267.37029561029,-28.199330018932,GALAXY,0.698,,,,,,,1.0692687945105235,-0.34399996783056697,G001.0694-00.3439,267.370311,-28.199179,0.3,0.3,90.0,12.53,12.548,,,0.06,0.08,,,C,2.733,0.1511,1.719,0.1271,,,,,00104340,00000400,,,0.545671
207831601010129,267.30974268801,-28.042151024745,GALAXY,0.677,,,,,,,1.1765871808896518,-0.21734936476941483,G001.1767-00.2173,267.309785,-28.042036,0.3,0.3,90.0,13.223,12.711,,,0.103,0.089,,,C,1.443,0.1368,1.479,0.1212,,,,,00004440,00000240,,,0.435064
207831601010147,267.373732217,-28.041394075661,GALAXY,0.46,,,STAR,1.0,,,1.2062882901015237,-0.26539245847316006,G001.2063-00.2652,267.37363,-28.041323,0.3,0.3,90.0,,10.322,9.927,10.316,,0.161,0.092,0.072,C,,,13.36,1.982,12.3,1.043,4.794,0.317,,00004400,00100200,00000200,0.413469
207831601010206,267.17499296533,-27.863898160162,GALAXY,0.465,,,,,,,1.268063014239714,-0.023508899279384272,G001.2681-00.0233,267.174887,-27.863766,0.3,0.3,90.0,11.796,11.752,12.106,,0.055,0.067,0.233,,C,5.371,0.2699,3.579,0.2201,1.652,0.354,,,00004440,00000400,00000400,,0.583419
207831601015101,267.36854115183,-27.964369579857,STAR,0.597,,,,,,,1.2699942111636335,-0.22185616412776274,G001.2701-00.2218,267.368638,-27.964268,0.3,0.3,90.0,13.237,13.112,,,0.085,0.155,,,C,1.425,0.112,1.022,0.1456,,,,,00000540,00001600,,,0.478241
207841004010008,263.96594994633,-27.06757194362,STAR,0.663,,,,,,,0.44481990171242575,2.8161414844046795,G000.4448+02.8161,263.965992,-27.067533,0.3,0.3,90.0,7.14,7.176,7.113,7.093,0.039,0.037,0.021,0.02,C,391.4,14.14,242.2,8.16,164.2,3.106,93.28,1.736,00004000,00004000,00008000,00008000,0.194397
207841004010061,264.03382010409,-27.361716309062,QSO,0.51,,,,,,,0.229022027783476,2.607097456566492,G000.2290+02.6069,264.034005,-27.361738,0.3,0.3,90.0,13.223,13.191,,,0.056,0.092,,,C,1.443,0.07437,0.9514,0.08096,,,,,00000200,00000000,,,0.596044
207841004010062,264.00748677797,-27.080780751019,QSO,0.59,,,,,,,0.45357972346405395,2.77785543364938,G000.4536+02.7777,264.00762,-27.080817,0.3,0.3,90.0,12.392,12.215,12.197,12.325,0.068,0.071,0.147,0.199,C,3.102,0.1947,2.337,0.1527,1.52,0.2058,0.7532,0.1383,00100640,00100000,00000000,00000000,0.446792
207841004010064,264.06485887447,-27.219334946381,QSO,0.517,,,,,,,0.36406429731422235,2.660346101781125,G000.3639+02.6603,264.064788,-27.219471,0.3,0.3,90.0,11.608,11.481,11.604,11.815,0.088,0.104,0.089,0.18,C,6.39,0.5202,4.594,0.4419,2.624,0.2152,1.205,0.1993,00000000,00004000,00000000,00000000,0.539583
207841004010080,263.94634420447,-27.242528769576,GALAXY,0.455,,,,,,,0.28776651101638484,2.7367291525327833,G000.2876+02.7367,263.94622,-27.242617,0.3,0.3,90.0,11.099,11.258,11.123,11.193,0.057,0.052,0.067,0.047,C,10.21,0.5324,5.639,0.2719,4.089,0.2522,2.138,0.09216,00000000,00000000,00000000,00008000,0.509069
207841004010105,263.82013873991,-27.218451600839,GALAXY,0.465,,,STAR,0.918,,,0.24757602567890113,2.844252416537962,G000.2476+02.8442,263.820182,-27.218415,0.3,0.3,90.0,14.094,14.112,,,0.093,0.147,,,C,0.6471,0.05572,0.4073,0.05521,,,,,00000440,00004000,,,0.191301
207841005010005,270.89498844355,-28.564045135384,QSO,0.623,,,,,,,2.3106710404033133,-3.209198166037718,G002.3105-03.2092,270.895022,-28.564167,0.3,0.3,90.0,11.698,,11.63,,0.061,,0.1,,A,5.879,0.331,,,2.562,0.2361,,,00000000,,00000000,,0.451377
207841005010013,270.93002595433,-28.686054933541,STAR,0.683,,,,,,,2.219165435913127,-3.2957194887183983,G002.2191-03.2956,270.930012,-28.686031,0.3,0.3,90.0,12.993,13.165,12.764,12.799,0.06,0.145,0.341,0.262,C,1.784,0.09838,0.9741,0.1301,0.902,0.2829,0.4868,0.1176,00000200,00000000,00000000,00000000,0.096846
207841005010063,271.01565281202,-28.621985750377,QSO,0.743,,,,,,,2.311945101002123,-3.3299480596176374,G002.3120-03.3300,271.015762,-28.621971,0.3,0.3,90.0,12.681,12.783,12.344,,0.063,0.256,0.149,,C,2.378,0.1375,1.385,0.3261,1.327,0.1818,,,00004000,00000000,00000000,,0.349382
207848601010028,267.38666499842,-28.240868691522,GALAXY,0.624,,,,,,,1.0410554445488938,-0.3777274409045984,G001.0410-00.3775,267.386513,-28.240816,0.3,0.3,90.0,11.182,11.125,10.947,11.293,0.024,0.034,0.046,0.065,C,9.455,0.2077,6.377,0.2024,4.808,0.2056,1.949,0.1162,00000200,00180280,00000201,00000600,0.518058
207848601010061,267.40019655346,-28.25500016238,GALAXY,0.688,,,,,,,1.0350607276115134,-0.3952160406320694,G001.0350-00.3952,267.400243,-28.255046,0.3,0.3,90.0,13.416,13.099,,,0.083,0.123,,,C,1.208,0.0928,1.035,0.1173,,,,,00004640,00000600,,,0.221305
207848601010143,267.2059593137,-28.247549601249,GALAXY,0.691,,,,,,,0.9533904877637119,-0.2446809642702572,G000.9532-00.2447,267.2059,-28.247674,0.3,0.3,90.0,13.313,12.956,,,0.098,0.114,,,A,1.329,0.1204,1.181,0.1244,,,,,00080740,00080340,,,0.485753
207848601010218,267.33782986099,-28.271438469862,GALAXY,0.688,,,,,,,0.9927159764223609,-0.35655496085423205,G000.9925-00.3565,267.337692,-28.271532,0.3,0.3,90.0,11.924,11.699,11.594,11.44,0.033,0.054,0.081,0.118,C,4.773,0.1467,3.759,0.1867,2.65,0.1967,1.702,0.1852,00100540,00100400,00000200,00008000,0.551822
207848601010256,267.51077483854,-28.093396820286,GALAXY,0.526,,,STAR,1.0,,,1.2237896105065829,-0.39585708508204764,G001.2237-00.3957,267.51061,-28.093361,0.3,0.3,90.0,11.854,11.801,11.366,,0.184,0.102,0.23,,A,5.095,0.8617,3.419,0.3209,3.269,0.6923,,,00004240,00000600,00000600,,0.538815
208016801010007,265.7082597849,-27.843854660199,STAR,0.88,,,,,,,0.6098794069291913,1.0940415296325416,G000.6098+01.0939,265.708317,-27.84394,0.3,0.3,90.0,7.531,7.581,7.568,7.545,0.044,0.047,0.028,0.026,C,272.9,11.01,166.8,7.146,108.0,2.772,61.52,1.494,00000040,00000000,00008000,00000000,0.357278
208016801010021,265.56073577484,-27.978817056095,QSO,0.676,,,STAR,1.0,,,0.42647129762818214,1.1338350083877518,G000.4264+01.1338,265.560757,-27.978826,0.3,0.3,90.0,9.657,9.733,9.643,9.609,0.038,0.043,0.041,0.023,C,38.54,1.346,22.97,0.9051,15.98,0.5964,9.197,0.1958,00000140,00100000,00000000,00000000,0.074615
208016801010046,265.67398493127,-28.053303527654,GALAXY,0.393,,,,,,,0.41578933552231384,1.0096182628700348,G000.4156+01.0097,265.673813,-28.053356,0.3,0.3,90.0,11.852,11.856,11.988,11.866,0.072,0.098,0.122,0.128,C,5.1,0.3367,3.251,0.2933,1.842,0.2073,1.15,0.1359,00004440,00104400,00000400,00000000,0.577719
208016801010078,265.68220313267,-27.871849949624,GALAXY,0.713,,,,,,,0.5739460368152988,1.0989100395119962,G000.5739+01.0988,265.682245,-27.871848,0.3,0.3,90.0,7.299,7.045,6.7,6.09,0.025,0.037,0.026,0.019,C,338.0,7.834,273.2,9.42,240.2,5.848,235.1,4.078,00000240,00000000,00008000,00008000,0.133476
208016802010005,265.87297207627,-28.096979306516,QSO,0.623,,,,,,,0.4708925568412525,0.8372880224531649,G000.4709+00.8372,265.873037,-28.096948,0.3,0.3,90.0,12.038,11.984,11.88,12.027,0.035,0.062,0.068,0.19,C,4.3,0.138,2.89,0.1663,2.036,0.1279,0.9916,0.1732,00004140,00004400,00008600,00008400,0.235205
