ALPHA_J2000   DELTA_J2000   MAG_AUTO_J   MAGERR_AUTO_J   MAG_AUTO_H   MAGERR_AUTO_H   MAG_AUTO_Ks   MAGERR_AUTO_Ks   MAG_PSF_J   MAGERR_PSF_J   MAG_PSF_H   MAGERR_PSF_H   MAG_PSF_Ks   MAGERR_PSF_Ks   MAG_APER_J   MAGERR_APER_J   MAG_APER_H   MAGERR_APER_H   MAG_APER_Ks   MAGERR_APER_Ks   TILE_ID   ra          dec          J_auto_Oct   A_Ks   Separation            
  175.92099     -63.32624     14.97303     0.04908         14.73455     0.03457         14.73929      0.06384          16.19378    0.03844        15.6757     0.0218         15.66937     0.04366         16.21033     0.04782         15.66612     0.02648         15.62374      0.0524           d001      175.92098   -63.326241   14.97        1.12   0.016556869716198033  
  175.93616     -63.85864     15.52814     0.03396         14.76098     0.02381         14.88151      0.05382          16.45164    0.02403        15.91664    0.01662        15.84204     0.03709         16.37755     0.02682         15.9025      0.0199          15.80365      0.04455          d001      175.93615   -63.858641   15.53        0.75   0.016264558318527366  
  175.96961     -64.11212     15.30867     0.02536         14.39559     0.01644         14.03546      0.03041          16.30263    0.02205        15.50144    0.01258        15.10324     0.02075         16.08714     0.02232         15.35227     0.01332         14.92696      0.02162          d001      175.9696    -64.112121   15.31        0.79   0.016125009882094057  
  176.01644     -63.00227     14.76666     0.02079         13.60002     0.01184         13.67655      0.02509          15.55316    0.01753        14.63677    0.00797        14.43197     0.01398         15.47559     0.01844         14.70597     0.00958         14.4472       0.01641          d001      176.01643   -63.002271   14.77        0.94   0.016734204684652743  
  176.1188      -63.36256     15.34698     0.04785         14.35899     0.02532         14.21708      0.04223          15.75682    0.02797        15.53521    0.01966        15.26005     0.03083         15.67899     0.03130         15.46206     0.02266         15.0664       0.03229          d001      176.11879   -63.362561   15.35        1.13   0.01653696310969813   
  176.1229      -63.87935     15.97250     0.03922         15.02227     0.02431         14.41797      0.03681          16.85453    0.03185        15.90771    0.01685        15.36242     0.02489         16.62738     0.03242         15.72869     0.01759         15.2433       0.02752          d001      176.12289   -63.879351   15.97        0.76   0.016253165775424756  
  176.1556      -62.97534     15.77118     0.05547         15.10253     0.03443         14.90002      0.06627          16.97086    0.05055        16.11781    0.0253         15.87657     0.0456          16.72299     0.05078         15.92565     0.02619         15.69393      0.0477           d001      176.15559   -62.975341   15.77        0.94   0.01674892695284857   
  176.48348     -63.94111     15.34034     0.02736         14.01711     0.01398         13.35687      0.01918          16.03948    0.02112        15.22257    0.01143        14.62623     0.01514         15.89125     0.02215         15.09337     0.0122          14.47347      0.01589          d001      176.48347   -63.941111   15.34        0.87   0.016219182257622828  
  176.58287     -63.89225     16.57114     0.07005         15.58493     0.04249         14.62763      0.05405          17.06426    0.04739        16.31439    0.0273         15.87324     0.04219         16.89502     0.05097         16.17582     0.0297          15.75823      0.04726          d001      176.58286   -63.892251   16.57        0.87   0.016246068731232795  
  176.63863     -64.22782     16.64363     0.07373         15.76036     0.04158         15.18997      0.07174          17.04407    0.04049        16.43486    0.02706        16.20689     0.05368         16.78344     0.03980         16.18344     0.02655         16.09428      0.05934          d001      176.63862   -64.227821   16.64        0.79   0.016061234749586706  
