#GroupID Nmem l b delta_l delta_b Ks1 Ks3 KsF radius
   44    4 305.56390  -2.19796   3.79532   5.65135  13.82334  14.63044  14.80630 209.28371 305.55865  -2.24111 359.37040
   45    3 305.90373  -1.62812   6.22174   4.25435  13.82690  14.96484  14.96484 245.18415 305.95701  -1.60739 443.43067
   46    4 305.81391  -1.94945   5.63817   2.21962  14.31062  15.28084  15.42060 212.70519 305.75873  -1.92824 347.36621
   47    8 306.02206  -1.92492   8.97316  10.54154  13.18816  13.90361  14.95591 410.93305 305.99349  -1.90026 471.14687
   48    4 306.08568  -2.18995   6.96220   4.57167  12.80444  13.36160  14.66784 264.42823 306.03552  -2.14635 499.48673
   49    7 306.39166  -2.00295   7.99462   4.32141  13.65869  14.10753  14.83368 279.00151 306.34673  -1.97434 407.58747
   50   16 306.64719  -1.92157  11.99016  19.86405  13.41635  13.51128  15.03888 645.93410 306.59525  -1.94653 790.70820
   51    2 306.99929  -2.07258   3.90046   3.08191  13.63164   0.00000  13.82194 149.07336 306.96678  -2.09826 298.14523
   52    2 305.78326  -1.33411   2.48506   3.49188  14.22014   0.00000  14.24543 128.56487 305.80397  -1.30501 257.12922
   53    9 305.92848  -1.16779  12.53112  13.13532  13.76116  13.84627  14.62458 505.36740 305.94876  -1.24497 784.92373
   54    6 305.58708  -1.17960  12.42958   2.43205  13.44625  13.74238  14.27144 382.63382 305.69260  -1.16664 750.27264
   55    2 305.33988  -1.42363   1.72317   0.66089  12.88217   0.00000  13.75270  55.35180 305.32552  -1.42914 110.70349
   56    5 306.16521  -0.73794   6.55304   4.83602  13.36042  13.57564  14.47153 266.55045 306.22439  -0.69343 417.93099
   57    6 306.29708  -0.99907   6.08007   8.73127  13.70461  13.89620  14.50660 323.89190 306.27296  -1.00295 373.03692
   58    7 307.41105  -1.91709   4.33659   8.42418  12.81927  13.72925  14.66882 305.73473 307.36752  -1.96676 528.98142
   59    3 306.79873  -1.14902   2.57962   8.09166  13.77610  15.10327  15.10327 272.95772 306.81511  -1.22306 485.99924
   60    7 306.84229  -0.91322   6.72086  12.02846  11.42832  13.07831  14.85178 434.66240 306.83485  -0.83371 719.30142
   61    9 307.07828  -0.95841  11.07027  16.47394  12.37321  13.69941  14.70355 579.41710 307.09079  -1.02070 793.07632
   62    5 299.45315  -0.46622   4.82586   6.37070  13.60936  14.12946  15.08163 248.18907 299.43296  -0.45368 315.58337
   63   10 297.81190  -0.69268  15.48618   9.22825  13.63714  14.32328  15.47554 536.33211 297.81321  -0.69692 537.35954
   64   11 297.80431  -0.20445   9.27523   7.33133  12.37666  13.54430  15.25026 342.12523 297.71420  -0.23467 624.61785
   65    2 297.83540   0.06274   2.25524   5.49107  13.01915   0.00000  13.25533 178.08476 297.81661   0.01698 356.16949
   66    3 297.86473   0.29047   4.61840   4.48744  12.39639  14.81474  14.81474 216.81346 297.82097   0.24908 332.71638
   67   16 298.05030   1.05440  20.97574  20.85311  13.50272  13.96942  15.28119 732.52559 298.18326   1.12125 1137.15880
   68    6 298.23358   1.30004  10.45362   5.35672  14.02417  15.12594  15.55765 421.99117 298.23119   1.34264 466.04407
   69   19 298.60974   1.15217  25.76139  18.54429  13.68832  14.05471  15.63234 923.24700 298.43576   1.28965 1651.16618
   70    3 297.87573   1.38033   0.80990   4.53967  13.83989  15.01989  15.01989 158.61584 297.88433   1.41208 275.94063
   71    2 298.89175   0.83087   3.88200   0.70017  13.02878   0.00000  14.80380 118.32708 298.92410   0.83671 236.65398
   72    4 298.68339   1.31025   4.69537   3.60316  12.85423  14.87572  15.19597 165.16600 298.67077   1.27800 279.27963
   73    8 298.73244   1.49163  18.48937   6.11935  11.28596  13.97920  15.07784 672.90264 298.61121   1.52531 1113.92356
   74   32 299.18632   1.11318  21.84609  34.37458  12.98122  13.66370  15.69898 1129.82657 299.04042   1.30993 1832.96383
