#GlxID GroupID l b
    0    0 294.73238 -2.24837
    1    0 294.71193 -2.16731
    2    0 294.73715 -2.24974
    3    0 294.82342 -2.24490
    4    0 294.90922 -2.23501
    5   -1 295.04947 -2.13387
    6    1 295.09475 -2.20231
    7    1 295.12854 -2.17757
    8    1 295.18171 -2.23425
    9   -1 294.89910 -1.14008
   10   -1 295.20618 -2.08649
   11    1 295.27534 -2.23925
   12   -1 295.31292 -2.16594
   13   -1 295.14517 -1.33894
   14   -1 295.07835 -1.09045
   15   -1 295.41746 -2.16578
   16   -1 295.15026 -1.09070
   17   -1 295.45663 -1.97236
   18    2 295.48641 -1.97107
   19   -1 295.56930 -2.25307
   20    2 295.49552 -1.97343
   21   -1 295.41441 -1.44770
   22    2 295.55904 -1.96014
   23   -1 295.63891 -2.20117
   24   -1 295.37222 -1.12361
   25   -1 295.50955 -1.45990
   26    2 295.64389 -1.95895
   27   -1 295.42640 -1.08135
   28   -1 295.81305 -1.97844
   29   -1 295.84314 -1.92020
   30   -1 295.95045 -2.23911
   31   -1 295.95102 -2.19934
   32   -1 295.95228 -2.16672
   33   -1 296.07847 -2.23319
   34   -1 295.86758 -1.33884
   35   -1 295.95832 -1.18665
   36   -1 296.07439 -1.58287
   37   -1 296.13699 -1.51441
   38   -1 296.07541 -1.23461
   39   -1 296.25727 -2.15511
   40   -1 296.27750 -2.11475
   41   -1 296.24081 -1.93364
   42   -1 296.26909 -1.92155
   43   -1 296.35185 -2.07414
   44   -1 296.37291 -2.02593
   45   -1 296.22668 -1.34156
   46   -1 296.47564 -2.15667
   47   -1 296.44932 -1.91210
   48   -1 296.44049 -1.84251
   49   -1 296.46496 -1.49542
   50   -1 296.62882 -2.12542
   51   -1 296.67670 -2.14461
   52   -1 296.55098 -1.49245
   53   -1 296.50193 -1.17740
   54   -1 296.75841 -1.35473
   55   -1 296.97584 -2.21339
   56   -1 296.97738 -2.00447
   57   -1 296.89242 -1.30522
   58   -1 297.10641 -2.06283
   59   -1 297.30260 -2.20233
   60   -1 297.31414 -2.23529
   61   -1 297.44578 -2.12032
   62   -1 297.41497 -1.96487
   63   -1 297.50117 -2.23690
   64   -1 297.47728 -1.99590
   65   -1 297.46006 -1.77322
   66   -1 297.45903 -1.76308
   67   -1 297.55885 -2.13871
   68   -1 297.61974 -2.11784
   69   -1 297.50153 -1.44957
   70   -1 297.64931 -2.24374
   71   -1 297.81357 -1.97120
   72   -1 297.94072 -1.72080
   73   26 297.87811 -1.12948
   74   26 297.88135 -1.13894
   75   26 297.89165 -1.18201
   76   -1 298.07405 -1.97991
   77   26 297.94929 -1.16393
   78   -1 298.13194 -2.07995
   79   -1 298.11691 -1.96179
   80   26 298.00523 -1.14607
   81   26 298.00913 -1.16093
   82   26 298.00956 -1.07925
   83   26 298.05923 -1.15888
   84   -1 298.22752 -1.81723
   85   -1 298.29747 -2.11565
   86   -1 298.20817 -1.52306
   87   -1 298.18712 -1.38590
   88   25 298.14892 -1.11584
   89    3 298.29386 -1.86924
   90    3 298.36579 -1.95005
   91    3 298.37631 -1.90670
   92   -1 298.43975 -2.19257
   93    3 298.39134 -1.87290
   94   -1 298.36392 -1.47450
   95   -1 298.39151 -1.35152
   96   -1 298.56859 -2.15774
   97   -1 298.52006 -1.73344
   98   -1 298.48985 -1.42479
   99   -1 298.61904 -2.18894
  100   -1 298.62978 -2.18920
  101   -1 298.54655 -1.53647
  102    9 298.65441 -2.06957
  103    9 298.65035 -2.00214
  104    9 298.66492 -2.01638
  105   24 298.54585 -1.06097
  106   -1 298.66661 -1.71822
  107   -1 298.62702 -1.44890
  108   -1 298.65718 -1.60402
  109    9 298.74927 -2.08574
  110    9 298.75674 -2.12624
  111   -1 298.74736 -1.95248
  112    9 298.77782 -2.12579
  113    9 298.78529 -2.15302
  114   -1 298.74342 -1.85050
  115   -1 298.65735 -1.27385
  116   -1 298.73821 -1.69534
  117    9 298.81075 -2.03317
  118    9 298.84932 -2.21868
  119    4 298.73973 -1.45677
  120    9 298.85928 -2.22824
  121    8 298.81086 -1.90057
  122    9 298.86483 -2.23386
  123    9 298.86001 -2.17946
  124    9 298.86130 -2.07734
  125    9 298.86734 -2.11046
  126    8 298.83021 -1.84689
  127    8 298.84188 -1.91850
  128   -1 298.81061 -1.65865
  129    4 298.79811 -1.50685
  130    8 298.85797 -1.90317
  131    9 298.88112 -2.05719
  132    9 298.94215 -2.13487
  133    4 298.85631 -1.54454
  134    9 298.92261 -1.98926
  135    4 298.86484 -1.53300
  136    9 298.94086 -2.05039
  137    5 298.80824 -1.13980
  138    4 298.88215 -1.59068
  139    4 298.88573 -1.59191
  140    9 298.95721 -2.07609
  141   -1 298.87238 -1.39309
  142    5 298.86714 -1.26768
  143    5 298.90608 -1.35709
  144   -1 298.99147 -1.91424
  145    5 298.91663 -1.33792
  146    5 298.90406 -1.21748
  147   -1 298.97836 -1.69847
  148   -1 299.00409 -1.84260
  149    5 298.93136 -1.23381
  150   -1 299.00034 -1.67517
  151   10 299.08386 -2.10037
  152    5 298.95662 -1.12225
  153   -1 299.02340 -1.46357
  154   -1 299.04719 -1.57902
  155    5 298.99737 -1.14218
  156   -1 299.05975 -1.55136
  157    5 299.06961 -1.27345
  158    5 299.08474 -1.22126
  159   10 299.07727 -2.23426
  160   10 299.12041 -2.21114
  161   10 299.09591 -2.02526
  162   -1 299.10586 -1.95983
  163   10 299.12998 -2.12298
  164   10 299.13251 -2.11754
  165   10 299.13234 -2.02481
  166   10 299.19309 -2.15213
  167    5 299.08000 -1.25344
  168   10 299.21290 -2.21815
  169   -1 299.18022 -1.72580
  170   -1 299.15138 -1.37246
  171   10 299.27872 -2.21219
  172    5 299.14102 -1.14977
  173    5 299.15797 -1.24489
  174    5 299.13887 -1.07115
  175    5 299.13860 -1.06037
  176   -1 299.29424 -2.14951
  177   -1 299.19854 -1.41423
  178    5 299.18268 -1.22568
  179   -1 299.23924 -1.53233
  180   -1 299.28252 -1.32522
  181    5 299.28910 -1.18056
  182    5 299.29929 -1.14236
  183   11 299.37507 -1.72648
  184   -1 299.37501 -1.40511
