srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo_x,B_rgeo_xa,rpgeo,b_rpgeo_x,B_rpgeo_xa,Flag,angDist
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,4065973834676683648,270.99388328669,-24.41629356537,1290.31201,1239.69006,1364.07544,1280.9458,1207.61243,1358.25818,10033,0.126014
200088201010189,271.128567068213,-24.4429635068482,QSO,0.517,,,STAR,1.0,,,6.008774252806048,-1.372342172315572,4065971532574154240,271.12856655766,-24.44296406384,1231.98975,1175.55896,1316.24792,1217.19128,1167.76526,1264.79553,10033,0.002612
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,4066069251668212480,271.1371677605,-24.31236832639,1184.59119,1158.33569,1226.23535,1182.40479,1146.96265,1225.14795,10013,0.130656
200509401010045,270.914118034397,-30.0349114720487,GALAXY,0.56,,,STAR,1.0,,,1.033160266722234,-3.9427266320537884,4050198041874468992,270.91411461873,-30.03490267923,328.58316,297.582336,365.640686,340.380798,311.078918,386.242432,10133,0.033396
200509401010063,270.849590402696,-30.0453331633902,GALAXY,0.441,,,STAR,1.0,,,0.9967018393839432,-3.8990695019655406,4050198209315245952,270.84956108321,-30.04530409202,1794.13721,1713.58301,1889.95776,1787.07458,1696.3894,1885.32031,10033,0.138928
200509402010020,269.61816184253,-29.895052592076,GALAXY,0.585,,,,,,,0.6007651202072772,-2.8968938170520553,4056258270960826496,269.61816618389,-29.89508763774,7576.01318,5504.25244,9555.22754,5102.27197,3753.80786,6447.77783,10033,0.12689
200509403010013,274.985011599753,-32.3330220436143,QSO,0.634,,,STAR,0.992,,,0.6483032387584079,-8.097148166358599,4045632045005026304,274.98501893946,-32.33303019975,1351.67041,1316.63025,1388.3645,1350.28638,1312.40613,1400.16553,10033,0.036886
200673403010012,271.91698228691,-31.238679932181,STAR,0.411,,,STAR,0.999,,,0.39512819163113844,-5.2803078198176365,4049105436563896320,271.91695301235,-31.2386357061,154.061478,153.317734,154.769928,154.081696,153.223297,155.120361,10033,0.182944
200855805010007,268.64443873328,-30.0193768853726,QSO,0.6,,,,,,,0.0699491068380398,-2.2290853707945306,4056288649115251328,268.64441602504,-30.0194062842,2304.49194,2195.0542,2452.97266,2306.3833,2189.79443,2401.32861,10033,0.127324
200855805010022,268.59519952906,-30.067721000649,GALAXY,0.683,,,,,,,0.006654043862718406,-2.21668806412544,4056194606479872896,268.59519806639,-30.06771595454,7418.31934,4953.02002,10381.5371,,,,10099,0.018729
201122015010209,269.40733460378,-24.405082793719,GALAXY,0.649,,,,,,,5.265148947805638,0.007746834445048614,4067563792893371264,269.40737524485,-24.40505676224,3078.33691,1734.96619,5022.1709,4748.48242,3493.3269,6161.63135,10033,0.162892
201122015010223,269.56894868413,-24.532412339454,GALAXY,0.726,,,,,,,5.228489782386188,-0.18332134248129087,4067520125955851264,269.56892196359,-24.532420223,4162.33936,1714.07031,7474.47754,4735.16504,3729.65503,6024.11621,10033,0.091997
201129701010008,267.149359425642,-27.9383645520713,GALAXY,0.502,,,,,,,1.1925789494353591,-0.0424982686951461,4057684857018297728,267.14937294606,-27.93837057957,7191.57764,2113.82812,10002.6709,2239.42871,1485.17493,3913.34937,11033,0.048165
201129701010016,267.082148548987,-28.1241589052228,GALAXY,0.733,,,,,,,1.0028160137212605,-0.08754536388753527,4057634584409761920,267.08219227544,-28.1241792031,2273.00122,1872.97461,2742.43628,1851.70227,1681.50549,2032.47412,10033,0.156885
201129704010009,266.452781067932,-28.7050736757838,QSO,0.407,,,STAR,1.0,,,0.21909010569747875,0.08462747899551479,4057496118966193408,266.45279134049,-28.70506830389,785.164246,771.58905,801.727234,783.510254,767.315613,800.903381,10033,0.037764
201129704010050,266.554051879105,-28.6838919029601,QSO,0.473,,,,,,,0.28340093610033207,0.019787175849429003,4057519243066073984,266.55403368191,-28.68389080737,6351.21045,3890.56421,10068.8223,7398.86865,5394.50195,11565.5254,10033,0.057606
201129704010057,266.460702866849,-28.8780990272976,GALAXY,0.406,,,,,,,0.07498150004451021,-0.011386548224824294,4057489517593726848,266.46065709401,-28.87809165503,1057.44275,1040.57458,1074.88794,1048.16711,1028.79919,1069.20117,10033,0.146712
201129704010084,266.565570074948,-28.5865965252082,GALAXY,0.424,,,STAR,1.0,,,0.37176835913450357,0.06173706291263303,4057520922397184512,266.5656109465,-28.58662684993,1193.59131,1175.83557,1210.62158,1193.89648,1172.5592,1219.36414,10033,0.169147
201129715010025,266.830913459453,-28.5704746683829,STAR,0.63,,,,,,,0.5064675379383837,-0.12908175785921033,4057523842971599616,266.83096028191,-28.57050666768,574.720459,569.710083,579.473755,575.893433,570.747986,582.183838,10033,0.187576
