srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist
200088201010001,270.968412874597,-24.3605868825607,STAR,0.936,,,,,,,6.0089966317736705,-1.2048386832320779,18035245-2421386,270.968561,-24.360737,0.07,0.06,90.0,5.747,5.748,5.731,0.027,0.036,0.024,AAA,111,0,2450891.8955,0.726659
200088201010002,271.147152846197,-24.4582910859771,QSO,0.559,,,,,,,6.003703488155112,-1.3946017472547516,18043533-2427303,271.147214,-24.458418,0.06,0.06,17.0,12.945,12.057,11.74,0.045,0.074,0.06,AAA,222,0,2450891.8967,0.498907
200088201010005,270.986655762018,-24.3123702039675,GALAXY,0.553,,,,,,,6.059172462937272,-1.1956395322605817,18035685-2418452,270.986876,-24.312572,0.07,0.06,90.0,7.006,7.053,7.072,0.021,0.044,0.018,AAA,111,0,2450891.8956,1.024606
200088201010010,271.061047587018,-24.3651807618956,GALAXY,0.77,,,,,,,6.046423963539987,-1.2806140240113866,18041461-2421554,271.060901,-24.365402,0.08,0.08,0.0,10.795,9.938,9.069,0.026,0.038,,AAU,220,0,2450891.8966,0.930284
200088201010019,270.9737006633,-24.442311023015,GALAXY,0.668,,,,,,,5.940156006394553,-1.2491688675969261,18035365-2426325,270.973563,-24.442373,0.12,0.11,88.0,14.809,14.16,13.113,,0.108,,UDU,20,0,2450891.8955,0.503327
200088201010028,270.958509041044,-24.3523039968863,STAR,0.763,,,,,,,6.01178067146452,-1.1929113274824674,18035006-2421079,270.958621,-24.352205,0.07,0.06,79.0,12.211,11.621,11.41,0.037,0.06,0.061,AAA,222,0,2450891.8955,0.511706
200088201010029,270.91776919119,-24.3888244267287,STAR,0.503,,,,,,,5.9617286638679845,-1.178532694546678,18034028-2423200,270.917847,-24.388905,0.07,0.06,90.0,11.536,10.831,10.621,0.029,0.044,0.026,AAA,222,2,2450891.8955,0.386291
200088201010034,270.886319577447,-24.3624731205812,GALAXY,0.744,,,,,,,5.970597930758199,-1.1406333198536853,18033278-2421445,270.886585,-24.362364,0.07,0.06,90.0,13.703,12.516,11.981,0.036,0.033,0.024,AAA,222,2,2450891.8869,0.954975
200088201010069,271.122565667541,-24.3843950321938,QSO,0.613,,,,,,,6.057159438474497,-1.3388710764388532,18042944-2423042,271.122683,-24.384516,0.06,0.06,0.0,12.495,11.689,11.392,0.028,0.031,0.031,AAA,222,0,2450891.8966,0.58108
200088201010070,270.721344607715,-24.3314766698984,QSO,0.66,,,,,,,5.923600940707124,-0.9945380625126803,18025309-2419540,270.72124,-24.331688,0.08,0.08,73.0,13.781,12.948,11.441,0.05,0.082,,AEU,226,0,2450891.8859,0.834591
200088201010093,271.01396762904,-24.567182783721,GALAXY,0.731,,,,,,,5.849333224542231,-1.3423937967739639,18040329-2434019,271.013714,-24.5672,0.08,0.08,73.0,15.339,14.252,13.378,0.068,0.079,,DDU,220,0,2450891.8954,0.832718
