srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,18043292-2418445,271.137177,-24.312374,0.12,0.11,140.0,10.045,9.834,9.871,,,0.039,UUA,662,0,2450891.8966,0.156962
200088201010584,270.997746357522,-24.206509044335,QSO,0.606,,,STAR,1.0,,,6.156378510931703,-1.1524680863425678,18035946-2412235,270.997752,-24.206545,0.11,0.11,101.0,13.083,12.271,12.099,0.047,,,AUU,266,0,2450891.8956,0.13076
200088201010600,271.162164870136,-24.3240886542532,QSO,0.652,,,STAR,1.0,,,6.127426176549203,-1.3407627422263533,18043892-2419266,271.16217,-24.324066,0.11,0.11,0.0,10.571,9.608,8.819,,0.092,,UAU,10,0,2450891.8966,0.083273
200509401010063,270.849590402696,-30.0453331633902,GALAXY,0.441,,,STAR,1.0,,,0.9967018393839432,-3.8990695019655406,18032389-3002431,270.849575,-30.045315,0.07,0.06,90.0,12.802,12.438,12.29,0.03,0.034,0.035,AAA,222,0,2451364.6266,0.081114
200509402010002,269.41320787815,-30.092313481238,STAR,0.628,,,STAR,1.0,,,0.3409666650082369,-2.8412677003387157,17573916-3005323,269.413172,-30.092327,0.06,0.06,0.0,10.204,9.796,9.686,0.026,0.026,0.024,AAA,222,0,2451040.5434,0.12189
200509403010002,274.863262628521,-32.3174096692738,STAR,0.581,,,STAR,1.0,,,0.6150111783530554,-7.998448460991019,18192719-3219028,274.863302,-32.317448,0.06,0.06,90.0,10.738,10.459,10.368,0.024,0.023,0.021,AAA,222,0,2451021.678,0.182727
200509403010013,274.985011599753,-32.3330220436143,QSO,0.634,,,STAR,0.992,,,0.6483032387584079,-8.097148166358599,18195641-3219588,274.985065,-32.333012,0.06,0.06,90.0,12.305,11.812,11.685,0.024,0.023,0.024,AAA,222,0,2451021.6907,0.16641
200855805010007,268.64443873328,-30.0193768853726,QSO,0.6,,,,,,,0.0699491068380398,-2.2290853707945306,17543466-3001097,268.644417,-30.019382,0.07,0.06,0.0,10.062,9.408,9.246,0.024,0.031,0.029,AAA,222,0,2451040.5144,0.070202
200997602010020,269.210887364551,-21.8167708498931,GALAXY,0.516,,,STAR,0.953,,,7.414513894498704,1.4614433943738734,17565062-2149005,269.210925,-21.816809,0.06,0.06,45.0,13.452,12.37,11.903,0.047,0.048,0.033,AAA,222,0,2450978.7611,0.186236
200997602010023,269.31663708539,-21.691376627999,QSO,0.499,,,,,,,7.572299361197151,1.4393009500241463,17571599-2141290,269.31666,-21.691416,0.06,0.06,90.0,6.444,5.082,4.51,0.021,0.015,0.031,AAA,111,0,2450978.7672,0.161138
201122015010209,269.40733460378,-24.405082793719,GALAXY,0.649,,,,,,,5.265148947805638,0.007746834445048614,17573775-2424183,269.407304,-24.405107,0.06,0.06,45.0,15.441,13.47,12.637,0.053,0.051,0.066,DAA,222,0,2451010.7094,0.13289
201122202010005,278.93013089396,-23.805887326831,STAR,0.703,,,,,,,9.91194564149882,-7.368729047247283,18354324-2348211,278.930187,-23.805874,0.07,0.07,45.0,12.498,11.912,11.724,0.028,0.027,0.026,AAA,222,0,2450988.6983,0.190923
201122202010032,279.0632754382,-23.770620354342,STAR,0.585,,,GALAXY,0.903,,,9.998483487961737,-7.462125825222371,18361519-2346141,279.063306,-23.77059,0.07,0.06,90.0,13.705,13.207,13.101,0.044,0.038,0.047,AAA,222,0,2450988.7074,0.148591
201122202010052,278.99043623552,-23.812483226616,QSO,0.444,,,STAR,0.999,,,9.930765631160261,-7.421066863864745,18355771-2348449,278.99049,-23.812475,0.15,0.14,135.0,14.818,15.259,14.032,,0.113,,UBU,20,0,2450988.6983,0.179535
201122202010054,279.0101292762,-23.890841939298,QSO,0.515,,,STAR,0.997,,,9.868080194463996,-7.4720671344686345,18360242-2353270,279.010092,-23.890854,0.09,0.08,85.0,14.334,14.062,13.656,,0.091,0.084,UAA,22,0,2450988.7075,0.130152
201129701010007,267.118053850301,-28.1584367686187,GALAXY,0.591,,,,,,,0.9897955430476119,-0.13235438278664294,17482833-2809305,267.118079,-28.158485,0.08,0.08,90.0,14.14,12.493,11.633,,0.051,0.076,UAA,622,0,2451010.6132,0.191102
