srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,18035853-2424585,270.993902,-24.416267,0.07,0.06,90.0,12.109,11.243,10.83,0.026,0.025,0.023,AAA,222,0,2450891.8955,0.218718
200088201010189,271.128567068213,-24.4429635068482,QSO,0.517,,,STAR,1.0,,,6.008774252806048,-1.372342172315572,18043086-2426344,271.128614,-24.442892,0.06,0.06,0.0,11.742,11.022,10.76,0.032,0.034,0.031,AAA,222,0,2450891.8966,0.299876
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,18043292-2418445,271.137177,-24.312374,0.12,0.11,140.0,10.045,9.834,9.871,,,0.039,UUA,662,0,2450891.8966,0.156962
200088201010401,271.120250566723,-24.2339940242615,QSO,0.614,,,STAR,1.0,,,6.187248425335261,-1.2633032411887788,18042886-2414025,271.120286,-24.234051,0.06,0.06,0.0,10.605,10.188,9.866,0.026,0.031,0.026,AAA,222,0,2450891.8965,0.235799
200088201010584,270.997746357522,-24.206509044335,QSO,0.606,,,STAR,1.0,,,6.156378510931703,-1.1524680863425678,18035946-2412235,270.997752,-24.206545,0.11,0.11,101.0,13.083,12.271,12.099,0.047,,,AUU,266,0,2450891.8956,0.13076
200088201010600,271.162164870136,-24.3240886542532,QSO,0.652,,,STAR,1.0,,,6.127426176549203,-1.3407627422263533,18043892-2419266,271.16217,-24.324066,0.11,0.11,0.0,10.571,9.608,8.819,,0.092,,UAU,10,0,2450891.8966,0.083273
200088201010681,271.069150118811,-24.2940531808055,QSO,0.377,,,,,,,6.1120430808059725,-1.2521557134436034,18041661-2417387,271.069226,-24.294088,0.06,0.06,17.0,13.157,12.544,12.257,0.039,0.063,0.055,AAA,222,0,2450891.8965,0.278755
200509401010004,270.896818811099,-30.0345628605136,QSO,0.586,,,,,,,1.0261369059010996,-3.929485917366127,18033525-3002043,270.896909,-30.034548,0.07,0.06,83.0,9.374,8.775,8.46,0.036,0.05,0.036,EEE,222,0,2451364.6266,0.286129
200509401010013,270.780443067493,-29.9573885300914,STAR,0.749,,,STAR,1.0,,,1.044255400440788,-3.8038380144735897,18030729-2957267,270.780379,-29.957417,0.07,0.07,0.0,9.591,9.108,9.012,0.026,0.022,0.023,AAA,222,0,2450891.891,0.224579
200509401010063,270.849590402696,-30.0453331633902,GALAXY,0.441,,,STAR,1.0,,,0.9967018393839432,-3.8990695019655406,18032389-3002431,270.849575,-30.045315,0.07,0.06,90.0,12.802,12.438,12.29,0.03,0.034,0.035,AAA,222,0,2451364.6266,0.081114
