srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist
200088201010600,271.162164870136,-24.3240886542532,QSO,0.652,,,STAR,1.0,,,6.127426176549203,-1.3407627422263533,18043892-2419266,271.16217,-24.324066,0.11,0.11,0.0,10.571,9.608,8.819,,0.092,,UAU,10,0,2450891.8966,0.083273
200509401010063,270.849590402696,-30.0453331633902,GALAXY,0.441,,,STAR,1.0,,,0.9967018393839432,-3.8990695019655406,18032389-3002431,270.849575,-30.045315,0.07,0.06,90.0,12.802,12.438,12.29,0.03,0.034,0.035,AAA,222,0,2451364.6266,0.081114
200855805010007,268.64443873328,-30.0193768853726,QSO,0.6,,,,,,,0.0699491068380398,-2.2290853707945306,17543466-3001097,268.644417,-30.019382,0.07,0.06,0.0,10.062,9.408,9.246,0.024,0.031,0.029,AAA,222,0,2451040.5144,0.070202
201129701010008,267.149359425642,-27.9383645520713,GALAXY,0.502,,,,,,,1.1925789494353591,-0.0424982686951461,17483585-2756180,267.149378,-27.93836,0.06,0.06,90.0,10.062,9.026,8.533,0.033,0.038,0.033,AAA,222,0,2451010.6133,0.061305
201129704010009,266.452781067932,-28.7050736757838,QSO,0.407,,,STAR,1.0,,,0.21909010569747875,0.08462747899551479,17454867-2842182,266.452794,-28.705063,0.11,0.11,45.0,12.888,11.632,10.279,0.035,,,AUU,200,0,2451825.4904,0.056076
201442201010035,266.964728205199,-28.2041332272918,GALAXY,0.64,,,STAR,1.0,,,0.8808610550679293,-0.04022939773120732,17475153-2812149,266.964723,-28.204144,0.08,0.08,45.0,15.082,14.23,11.688,0.071,0.061,,BDU,226,0,2451010.6102,0.042151
201458402010002,272.51351843763,-21.393041356092,QSO,0.71,,,STAR,0.993,,,9.294639533223458,-1.0029979719802038,18100324-2123349,272.513526,-21.393034,0.11,0.11,17.0,13.011,12.006,11.861,,,0.064,UUA,662,0,2451366.5844,0.036659
201480901010010,268.605304753692,-26.3312793315005,GALAXY,0.67,,,,,,,3.23598421356069,-0.33556769484204424,17542527-2619526,268.605314,-26.33128,0.06,0.06,90.0,8.791,8.31,8.018,0.021,0.031,0.026,AAA,111,0,2451010.6745,0.02993
202063806010001,270.674766096882,-20.2881325470276,GALAXY,0.766,,,GALAXY,0.886,,,9.42050066832051,1.036092733623431,18024194-2017172,270.674767,-20.288132,0.06,0.06,45.0,12.717,11.905,11.474,0.042,0.037,0.032,EEA,222,0,2450978.8216,0.00363
203027608010001,278.26424278357,-25.598225911323,QSO,0.653,,,GALAXY,1.0,,,8.02170525259524,-7.626087064123617,18330342-2535536,278.264268,-25.59824,0.06,0.06,45.0,14.161,13.687,13.38,0.035,0.04,0.045,AAA,222,0,2450992.6387,0.096306
203028825010012,266.810604598581,-28.6865130928476,QSO,0.461,,,,,,,0.39797905553437096,-0.1739483825850949,17471454-2841113,266.810598,-28.686497,0.06,0.06,90.0,13.272,12.198,11.93,0.021,0.022,0.045,AAA,222,0,2451010.6031,0.061568
205023702010091,269.06176248581,-22.07620838145,QSO,0.401,,,,,,,7.120604308139762,1.450828791502557,17561482-2204342,269.061758,-22.076183,0.06,0.06,45.0,13.999,13.23,12.948,0.023,0.037,0.034,AAA,222,0,2450978.7578,0.092591
205031701010138,270.849520411605,-21.6862824043123,QSO,0.645,,,,,,,8.28400246930379,0.20543710278985022,18032388-2141105,270.849522,-21.686258,0.06,0.06,45.0,14.247,13.656,13.199,0.033,0.033,0.053,AAA,222,0,2451300.7495,0.088016
206509101010001,263.86165984042,-25.528683926911,GALAXY,0.372,,,STAR,1.0,,,1.6941193641600525,3.7223846594624885,17352679-2531432,263.861646,-25.528673,0.06,0.06,90.0,11.017,9.819,9.411,0.026,0.024,0.023,AAA,222,0,2450996.6595,0.05974
207202802010002,267.20589271557,-23.62714066269,STAR,0.917,,,,,,,4.9146024057429765,2.1351316531764493,17484941-2337377,267.205903,-23.627142,0.06,0.06,0.0,8.102,7.803,7.753,0.026,0.031,0.033,AAA,111,0,2450950.8585,0.03426
