srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,srcid_x,RAJ2000,DEJ2000,iauname,PriOrSec,mClass,Zmag3,e_Zmag3,Zperrbits,Ymag3,e_Ymag3,Yperrbits,Jmag3,e_Jmag3,Jperrbits,Hmag3,e_Hmag3,Hperrbits,Ksmag3,e_Ksmag3,Ksperrbits,angDist
207641905010059,265.96661005812,-28.283877064646,QSO,0.541,,,STAR,1.0,,,0.3550314901850709,0.6690006291678773,515511496302,265.966718,-28.283822,VVV J174352.01-281701.75,515396075597,-1,16.423,0.012,8388752,16.052,0.013,8388752,15.358,0.014,8388752,14.573,0.024,8388752,,,0,0.395709
207641906010006,265.77735295002,-28.574206973549,GALAXY,0.703,,,STAR,0.999,,,0.020528623029225153,0.658300587875583,515534587646,265.777392,-28.574089,VVV J174306.57-283426.72,515396075613,-1,17.353,0.021,8388736,15.449,0.008,8388736,13.756,0.003,8388752,12.055,0.003,8388752,11.15,0.004,8388752,0.441682
207641906010014,265.966889993617,-28.6082440907237,GALAXY,0.755,,,,,,,0.07890535870328513,0.4987761838303325,515535169385,265.966859,-28.608361,VVV J174352.04-283630.10,0,-1,,,0,,,0,18.877,0.213,0,16.262,0.113,0,14.929,0.113,0,0.433364
207641906010017,265.950867213985,-28.6624588251084,GALAXY,0.509,,,STAR,1.0,,,0.025363008247738152,0.48233136614895833,515534669442,265.950739,-28.662504,VVV J174348.17-283945.01,0,-1,14.512,0.003,16,14.095,0.003,16,13.769,0.003,16,13.284,0.008,16,12.823,0.016,16,0.435396
207641906010022,265.79441052423,-28.588232797564,GALAXY,0.76,,,,,,,0.016465726832267175,0.6381862340870287,515534586937,265.794418,-28.588119,VVV J174310.66-283517.22,515396075613,-1,18.216,0.043,0,17.028,0.028,16,16.07,0.017,16,15.012,0.036,16,14.204,0.058,0,0.409686
207641909010002,265.886118284647,-28.1243474727352,STAR,0.707,,,,,,,0.45367711524973164,0.8130566067250805,515504716385,265.886171,-28.124315,VVV J174332.68-280727.53,0,-1,9.038,0.001,65552,8.924,0.001,65552,8.64,0.001,65552,8.3,0.002,65552,8.063,0.002,65552,0.205751
207641909010005,265.782093421292,-28.2170867764926,GALAXY,0.606,,,,,,,0.32658776178207893,0.842409723861969,515504129952,265.782158,-28.217161,VVV J174307.71-281301.77,0,-1,10.174,0.001,65552,9.362,0.001,65552,8.428,0.012,65680,,,0,,,0,0.336449
207641909010007,265.66882622559,-28.240463659983,QSO,0.564,,,,,,,0.25421933179660083,0.9150026813033609,515504734861,265.668817,-28.24044,VVV J174240.51-281425.58,0,-1,13.305,0.002,16,13.168,0.003,16,12.772,0.004,16,12.278,0.006,16,12.127,0.009,16,0.089144
207641909010010,265.847614791369,-28.2205145201628,STAR,0.631,,,STAR,1.0,,,0.35399508872264657,0.7914787835075016,515504127770,265.847615,-28.22056,VVV J174323.42-281314.01,0,-1,9.431,0.001,65552,9.467,0.001,65552,9.327,0.001,65552,,,0,,,0,0.16492
207641909010017,265.70815515196,-28.294849137067,GALAXY,0.653,,,,,,,0.2261889481972575,0.8569328235939501,515504501340,265.708027,-28.294805,VVV J174249.92-281741.29,515396075592,-2,17.493,0.052,128,16.487,0.044,128,15.128,0.031,128,13.794,0.025,128,13.36,0.027,128,0.436593
207641909010019,265.84914388883,-28.208676413125,GALAXY,0.499,,,,,,,0.3647792352831158,0.7965464083074516,515504724490,265.849074,-28.208722,VVV J174323.77-281231.40,0,-1,14.455,0.004,16,14.227,0.006,16,13.774,0.009,16,13.233,0.015,16,13.072,0.02,16,0.275124
207641909010021,265.58618149405,-28.104451148048,QSO,0.404,,,STAR,1.0,,,0.33150484867558616,1.0485533741572344,515504389810,265.586257,-28.104438,VVV J174220.70-280615.97,0,-1,13.168,0.002,16,13.042,0.002,16,12.634,0.003,16,12.201,0.006,16,11.97,0.007,16,0.245064
207641909010034,265.63864494461,-28.396346615645,GALAXY,0.742,,,,,,,0.10767551488782938,0.8555429241637016,515525779442,265.638556,-28.396318,VVV J174233.25-282346.74,0,-1,18.288,0.101,4096,16.973,0.067,4096,15.539,0.045,4096,14.143,0.034,4096,13.46,0.03,4096,0.300249
