srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,2MASS,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD,angDist
206508401015097,161.610473444162,-59.9370027340907,QSO,0.537,,,STAR,1.0,,,287.86799598507366,-0.7725815543410535,10462657-5956131,161.610737,-59.936974,0.07,0.07,90.0,11.773,11.346,11.113,0.026,0.032,0.029,AAA,222,0,2450893.6171,0.48643
206508401015099,161.489070238122,-59.8126904086849,QSO,0.613,,,STAR,1.0,,,287.75646678276865,-0.6905485942523553,10455733-5948456,161.488914,-59.812679,0.08,0.07,0.0,13.961,12.975,12.491,0.021,0.024,0.025,AAA,222,0,2451564.8209,0.285786
206516401010020,177.8137969599,-62.600264615345,GALAXY,0.666,,,,,,,296.0705855950205,-0.5329788678171307,11511503-6236024,177.812645,-62.600685,0.09,0.08,7.0,16.02,14.573,14.08,0.109,0.071,0.069,BAA,222,0,2451588.681,2.43567
206516401010047,177.87301001697,-62.647544449877,GALAXY,0.727,,,,,,,296.1079840439908,-0.5727057737014303,11512977-6238504,177.874061,-62.647339,0.09,0.08,7.0,14.422,13.753,14.077,0.053,,0.088,AUA,262,0,2451588.681,1.8892
206516401010062,177.52192885886,-62.692250045657,QSO,0.414,,,,,,,295.96162392427175,-0.6537055589253946,11500511-6241322,177.521297,-62.692299,0.23,0.19,82.0,15.804,15.322,14.214,,0.196,,UCU,20,0,2451584.8221,1.058336
206516401010078,177.61943082165,-62.520732369811,GALAXY,0.594,,,STAR,0.94,,,295.9649786769748,-0.4764500586586017,11502883-6231148,177.62013,-62.520782,0.12,0.12,22.0,15.704,14.735,14.64,0.106,,,AUU,200,0,2451588.6767,1.175094
206516401010102,177.44963668129,-62.617934771948,QSO,0.626,,,STAR,0.998,,,295.9118160146787,-0.5893243915528461,11494800-6237040,177.45,-62.617783,0.07,0.07,45.0,15.787,14.714,14.248,0.097,0.094,0.132,AAB,222,0,2451584.8221,0.812649
206516401015045,177.9267523434,-62.658340521793,STAR,0.435,,,GALAXY,0.934,,,296.1344934754961,-0.5775409218340039,11514236-6239301,177.926534,-62.658382,0.07,0.06,0.0,13.903,13.187,12.755,0.03,0.022,0.026,AAA,222,0,2451588.681,0.390684
206516401015084,177.57971091828,-62.479767805543,GALAXY,0.965,,,,,,,295.93755166833796,-0.4409215473165993,11501908-6228457,177.579518,-62.479385,0.08,0.07,7.0,15.169,14.69,14.618,0.057,0.074,0.113,AAB,222,0,2451588.6767,1.41497
206516401015105,177.91185866943,-62.572848825283,GALAXY,0.475,,,,,,,296.10820786681177,-0.4959021658645836,11513916-6234229,177.913199,-62.573036,0.07,0.06,0.0,13.929,13.644,13.642,0.068,0.097,0.072,AAA,222,0,2451588.681,2.322473
206525101010069,133.13838263777,-46.464881624233,QSO,0.706,,,GALAXY,0.908,,,266.4213496740661,-1.2304876429682445,08523331-4627543,133.138801,-46.465107,0.07,0.07,45.0,15.398,14.715,14.619,0.078,0.084,0.111,AAB,222,0,2451252.5789,1.317002
206525101010074,133.19768324814,-46.316422158941,STAR,0.51,,,STAR,0.997,,,266.33341050669173,-1.1040634103023728,08524751-4618595,133.197979,-46.316532,0.06,0.06,90.0,12.66,12.19,12.065,0.029,0.032,0.027,AAA,222,0,2451252.5788,0.834941
206525101015047,133.27724736493,-46.232019638082,QSO,0.555,,,STAR,1.0,,,266.3038165688033,-1.007768212650203,08530643-4613550,133.276832,-46.231972,0.06,0.06,45.0,14.394,13.794,13.674,0.036,0.035,0.046,AAA,222,0,2451252.5883,1.048489
206530305010005,186.6189253841,-64.1617603600991,QSO,0.562,,,,,,,300.2156143074567,-1.421744137748225,12262859-6409421,186.619152,-64.161713,0.06,0.06,45.0,14.427,13.836,13.762,0.035,0.035,0.049,AAA,222,0,2451656.527,0.394324
206530305010013,186.379163083302,-64.0608053053899,STAR,0.59,,,STAR,1.0,,,300.1014491164194,-1.3316059577460446,12253101-6403375,186.379215,-64.060425,0.06,0.06,90.0,11.885,11.511,11.484,0.022,0.021,0.02,AAA,222,0,2451656.5239,1.371538
206530305010022,186.408988131621,-63.8359190312929,GALAXY,0.679,,,,,,,300.0919373569592,-1.1065393587725285,12253829-6350072,186.409548,-63.835361,0.06,0.06,45.0,13.408,12.483,12.205,0.027,0.03,0.03,AAA,222,0,2451656.5237,2.196723
206530305010024,186.756623415559,-64.1113861739006,QSO,0.476,,,STAR,0.999,,,300.2706011950705,-1.3658521889231467,12270151-6406406,186.756292,-64.111298,0.07,0.06,0.0,12.858,11.706,11.256,0.024,0.025,0.025,AAA,222,0,2451656.5336,0.610026
206530305010026,186.266990593995,-63.8622299275509,QSO,0.536,,,GALAXY,0.99,,,300.0323230387663,-1.1390426619803402,12250430-6351432,186.267937,-63.862003,0.06,0.06,45.0,14.053,13.454,13.226,0.063,0.075,0.078,EEA,222,0,2451656.5237,1.708847
206530305010028,186.510854563913,-63.9777131469793,STAR,0.564,,,STAR,1.0,,,300.15060156487317,-1.243188281435866,12260244-6358398,186.510197,-63.977726,0.06,0.06,135.0,10.989,10.798,10.783,0.038,0.036,0.043,AEA,222,0,2451656.5271,1.039583
206530305010029,186.48468425989,-63.9624953793896,GALAXY,0.459,,,STAR,0.978,,,300.1376689348861,-1.2291775394468458,12255652-6357447,186.48554,-63.962418,0.06,0.06,45.0,14.497,13.476,13.078,0.051,0.043,0.069,AAA,222,0,2451656.5238,1.380682
