ID_SEARCH,RA_SEARCH,DEC_SEARCH,DISTANCE,CATALOGUE,TILE,ID,ALPHA_J2000,DELTA_J2000,MAG_PSF,MAGERR_PSF,MAG_AUTO,MAGERR_AUTO,MAG_APER,MAGERR_APER,MAG_MODEL,MAGERR_MODEL,SPREAD_MODEL,AMODEL_IMAGE,BMODEL_IMAGE,ELONGATION,ELLIPTICITY,A_IMAGE,B_IMAGE,KRON_RADIUS,FLUX_RADIUS,SPHEROID_SERSICN,MU_MAX,CLASS_STAR,MAG_APER_H,MAG_PSF_H,MAG_APER_J,MAG_PSF_J,EXTENDED
200074207010003,210.23702607946998,-62.238978102522005,1.17633560782531,d050_all.fits,d050,VVV-J140056.76-621419.5,210.23649799874815,-62.23876299930308,16.651348114013672,0.032597098499536514,15.999722480773926,0.05162036791443825,16.596593856811523,0.04061783477663994,16.08763313293457,0.05324912443757057,0.002906486392021179,17.51762580871582,6.754777431488037,1.2127420902252197,0.17542237043380737,2.0487725734710693,1.6893720626831055,3.5,[1.1814662 2.524517  5.27008  ],8.40235710144043,16.651020050048828,0.7200559973716736,17.42377281188965,17.454574584960938,-99.0,-99.0,0.0
200074207010004,210.31629840723,-62.236858618641996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010005,210.2035719429,-62.251356631015994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010009,210.51383415968002,-61.993946974231996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010012,210.59323741573002,-62.049179313283005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010013,210.03706202742,-62.034281722288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010014,210.82743714919,-62.274629543657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010015,210.53849087863998,-62.227346845233,1.088634145786651,d050_all.fits,d050,VVV-J140209.11-621339.0,210.53793787968982,-62.227505108521626,13.228235244750977,0.002336743287742138,13.01893424987793,0.0037176955956965685,13.239851951599121,0.0025588786229491234,13.076447486877441,0.004982513375580311,0.0002559696731623262,0.489443302154541,0.28922832012176514,1.210975170135498,0.17421919107437134,2.0896198749542236,1.7255679368972778,3.5,[0.8724096 1.5959554 2.8278363],9.99400520324707,13.10782241821289,0.9936047196388245,13.395430564880371,13.379680633544922,13.856260299682617,13.840431213378906,0.0
200074207010016,210.26111211378003,-62.124119963777,0.7099883974751342,d050_all.fits,d050,VVV-J140102.73-620726.3,210.26136059502022,-62.12396059744696,17.964923858642578,0.10643471032381058,17.994216918945312,0.16681240499019623,18.085107803344727,0.15782004594802856,17.255090713500977,0.20802000164985657,-0.006241044960916042,44.7021598815918,34.822513580322266,1.3943219184875488,0.28280550241470337,1.1214358806610107,0.8042876124382019,3.5,[0.7215667 1.3198293 2.6399841],8.756102561950684,17.695037841796875,0.9057640433311462,-99.0,-99.0,-99.0,-99.0,0.0
200074207010022,210.12763409256002,-62.108062381849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010025,210.80370517286,-62.260943665066996,1.0852794695912416,d050_all.fits,d050,VVV-J140312.98-621538.5,210.8040797970944,-62.26069774249934,12.88351058959961,0.0017951602349057794,10.732751846313477,0.001222053775563836,12.511176109313965,0.0015912993112578988,10.723918914794922,0.008204438723623753,0.06551491469144821,4.289764881134033,3.9913907051086426,1.0683437585830688,0.06397169828414917,5.221561431884766,4.887529373168945,3.5,[2.9720435 4.555509  8.340195 ],1.183213233947754,13.197978019714355,0.7264159321784973,13.73672103881836,99.0,12.386054992675781,12.473980903625488,0.0
200074207010028,210.29311667562,-62.106578533379,0.5767316385468916,d050_all.fits,d050,VVV-J140110.33-620624.2,210.29302383671134,-62.10673273677841,18.11060333251953,0.12137418240308762,17.881389617919922,0.1545048952102661,17.9423828125,0.13828955590724945,17.742284774780273,0.22420726716518402,0.0050736465491354465,7.996816158294678,1.0864267349243164,1.1572742462158203,0.135900616645813,1.1232627630233765,0.9706106781959534,3.5,[0.92603046 1.6347587  2.434331  ],8.310150146484375,18.08731460571289,0.08841227740049362,18.584863662719727,18.639495849609375,-99.0,-99.0,0.0
200074207010029,210.39515367072,-62.034480428532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010036,210.07702565158002,-61.998283576294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010037,210.79949875777,-62.2229728179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010038,209.88376419492002,-62.210785926429004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010039,210.14673106758,-62.267477234932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010043,210.36161373772,-62.075492274427994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074207010045,210.42737899127,-62.074073172129005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200074208010001,210.12708863127,-61.907108515755,0.7279766193853422,d050_all.fits,d050,VVV-J140030.60-615425.5,210.12751705134636,-61.90709471294506,12.507413864135742,0.0014572844374924898,10.725447654724121,0.0012869189959019423,12.29719352722168,0.001397919375449419,10.733338356018066,0.008798220194876194,0.06745996326208115,3.9300501346588135,3.627366065979004,1.122711420059204,0.1092991828918457,5.751815319061279,5.1231465339660645,3.5,[2.7678275 4.229316  7.8567624],1.3341368436813354,12.843910217285156,0.790429949760437,12.878462791442871,12.919281959533691,12.058452606201172,12.367581367492676,0.0
200074208010004,209.83116045326,-61.806182077858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
