srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,Source,RA_ICRS,DE_ICRS,rgeo,b_rgeo_x,B_rgeo_xa,rpgeo,b_rpgeo_x,B_rpgeo_xa,Flag,angDist
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,4065973834676683648,270.99388328669,-24.41629356537,1290.31201,1239.69006,1364.07544,1280.9458,1207.61243,1358.25818,10033,0.126014
200088201010189,271.128567068213,-24.4429635068482,QSO,0.517,,,STAR,1.0,,,6.008774252806048,-1.372342172315572,4065971532574154240,271.12856655766,-24.44296406384,1231.98975,1175.55896,1316.24792,1217.19128,1167.76526,1264.79553,10033,0.002612
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,4066069251668212480,271.1371677605,-24.31236832639,1184.59119,1158.33569,1226.23535,1182.40479,1146.96265,1225.14795,10013,0.130656
200088201010340,271.12141981116,-24.3647198920234,QSO,0.591,,,,,,,6.073801458014336,-1.3283167550650654,4065974998592210688,271.12141818888,-24.36464555905,1209.77173,1174.6665,1250.79163,1204.45544,1166.75354,1255.09814,10033,0.267652
200088201010401,271.120250566723,-24.2339940242615,QSO,0.614,,,STAR,1.0,,,6.187248425335261,-1.2633032411887788,4066117836341878144,271.12028725121,-24.2340478636,1261.08203,1183.38586,1392.96729,1259.1825,1191.82446,1337.46863,10033,0.228187
200088201010584,270.997746357522,-24.206509044335,QSO,0.606,,,STAR,1.0,,,6.156378510931703,-1.1524680863425678,4066118557895979392,270.99772933436,-24.2065653175,1169.61938,1130.4115,1216.83813,1170.51318,1133.63086,1214.70178,10033,0.210153
200509401010045,270.914118034397,-30.0349114720487,GALAXY,0.56,,,STAR,1.0,,,1.033160266722234,-3.9427266320537884,4050198041874468992,270.91411461873,-30.03490267923,328.58316,297.582336,365.640686,340.380798,311.078918,386.242432,10133,0.033396
200509401010063,270.849590402696,-30.0453331633902,GALAXY,0.441,,,STAR,1.0,,,0.9967018393839432,-3.8990695019655406,4050198209315245952,270.84956108321,-30.04530409202,1794.13721,1713.58301,1889.95776,1787.07458,1696.3894,1885.32031,10033,0.138928
200509402010010,269.24521574464,-30.062206840955,GALAXY,0.643,,,,,,,0.29437687298619203,-2.700292861457971,4056229717892718592,269.24529295869,-30.06218193528,7188.01074,5129.2251,10469.7852,,,,10099,0.256743
200509402010020,269.61816184253,-29.895052592076,GALAXY,0.585,,,,,,,0.6007651202072772,-2.8968938170520553,4056258270960826496,269.61816618389,-29.89508763774,7576.01318,5504.25244,9555.22754,5102.27197,3753.80786,6447.77783,10033,0.12689
200509402010029,269.31712762032,-30.017866100567,GALAXY,0.958,,,,,,,0.36397761959382136,-2.7320430297061247,4056253705194954240,269.31714133185,-30.01778461353,7044.02832,4620.55762,9425.00781,,,,10099,0.296451
200509402010044,269.28654742336,-30.061964012854,QSO,0.607,,,,,,,0.312493184020456,-2.7311509504003277,4056229855332249600,269.28647614642,-30.06201631567,861.407715,503.563568,1666.97791,7781.37744,6032.15625,9579.28418,10033,0.291158
200509403010002,274.863262628521,-32.3174096692738,STAR,0.581,,,STAR,1.0,,,0.6150111783530554,-7.998448460991019,4045635614016394752,274.86333242485,-32.31745026138,499.076538,491.14386,507.816772,500.657623,492.886597,508.76059,10033,0.257769
200509403010013,274.985011599753,-32.3330220436143,QSO,0.634,,,STAR,0.992,,,0.6483032387584079,-8.097148166358599,4045632045005026304,274.98501893946,-32.33303019975,1351.67041,1316.63025,1388.3645,1350.28638,1312.40613,1400.16553,10033,0.036886
200673403010012,271.91698228691,-31.238679932181,STAR,0.411,,,STAR,0.999,,,0.39512819163113844,-5.2803078198176365,4049105436563896320,271.91695301235,-31.2386357061,154.061478,153.317734,154.769928,154.081696,153.223297,155.120361,10033,0.182944
200673403010031,272.11757810905,-31.416896067806,QSO,0.414,,,,,,,0.32034370087748754,-5.5160590598626,4049052621400879360,272.11764196722,-31.41693067114,5358.75977,3699.85815,7436.13574,5713.08691,4821.12598,6726.90527,10033,0.232395
200855805010007,268.64443873328,-30.0193768853726,QSO,0.6,,,,,,,0.0699491068380398,-2.2290853707945306,4056288649115251328,268.64441602504,-30.0194062842,2304.49194,2195.0542,2452.97266,2306.3833,2189.79443,2401.32861,10033,0.127324
200855805010022,268.59519952906,-30.067721000649,GALAXY,0.683,,,,,,,0.006654043862718406,-2.21668806412544,4056194606479872896,268.59519806639,-30.06771595454,7418.31934,4953.02002,10381.5371,,,,10099,0.018729
200997602010020,269.210887364551,-21.8167708498931,GALAXY,0.516,,,STAR,0.953,,,7.414513894498704,1.4614433943738734,4070380917812361984,269.21092501986,-21.8168401958,4662.11328,3231.08496,7293.78564,3608.6311,3060.31592,5870.87793,10033,0.279573
