          16        298.85536       -2.1174850        8.6518028        6.0750012      140 
          17        300.56518       -1.6145081        13.700938        6.0051713      280 
          22        303.65994       -1.9603431        14.414343        3.4166896      510 
          11        305.45414       -1.7389113        7.3509196        7.2072555      618 
          13        306.04076       -2.0174184        14.015615        6.7457080      671 
          16        306.64718       -1.9215704        10.756018        6.0750012      709 
          14        308.50006       -2.2002002        13.127792        7.6736848      810 
          11        309.06264       -1.3277717        11.764782        7.2072555      848 
          18        309.01522       -2.1599520        13.293245        6.1834842      859 
          29        309.39228       -2.0628406        17.662324        2.1985184      906 
          11        315.96890       -1.2649156        4.7862364        7.2072555     1136 
          24        319.36161       -2.1093757        11.866669        2.8980853     1374 
          25        325.95692       -1.8653966        18.255243        3.8196964     1757 
          24        326.72159       -2.0667367        11.057567        2.8980853     1833 
          13        297.92389       -1.1138002        8.7569195        6.7457080     2220 
          11        297.80430      -0.20445215        5.7004274        7.2072555     2227 
          11        297.84708      -0.69494892        9.5736507        7.2072555     2230 
          17        298.46593      -0.62748548        9.5321606        6.0051713     2262 
          13        299.32616      -0.90348600        6.4949842        6.7457080     2317 
          19        299.42102       -1.0325856        18.222750        5.5567329     2330 
          13        300.33652       -1.1123076        13.502995        6.7457080     2348 
          22        317.81008       -1.1136864        14.468441        3.4166896     2529 
          32        326.01594       -1.3878986        15.448312        2.4578390     2574 
          12        296.09821       0.87850002        12.291659        7.6606570     2707 
          13        306.48938        1.0603385        9.5161251        6.7457080     2991 
          11        295.01763        1.0838146        8.5480493        7.2072555     3270 
          11        295.02363        2.1072388        5.8982165        7.2072555     3292 
          14        295.59958        1.1022354        9.3706913        7.6736848     3329 
          11        296.20257        1.8638944        8.6256213        7.2072555     3388 
          12        298.00525        1.0332811        12.269358        7.6606570     3474 
          11        299.16688        1.2050337        9.8299639        7.2072555     3573 
          16        298.98516        2.1014958        10.423526        6.0750012     3576 
          24        300.56436        1.8285697        16.112771        2.8980853     3730 
          31        304.94728        1.1783048        15.619284        1.9891360     3932 
          34        305.35944        1.0027101        18.719265        3.3356391     3976 
          17        305.80872        2.0464601        12.190475        6.0051713     4009 
          14        307.45249        1.1159665        8.3849252        7.6736848     4103 
          13        315.98728        2.0642880        10.263849        6.7457080     4515 
          13        317.34832        2.0119976        6.5720433        6.7457080     4615 
          13        319.53885        1.4329641        9.3456476        6.7457080     4747 
