srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,srcid_x,RAJ2000,DEJ2000,iauname,PriOrSec,mClass,Zmag3,e_Zmag3,Zperrbits,Ymag3,e_Ymag3,Yperrbits,Jmag3,e_Jmag3,Jperrbits,Hmag3,e_Hmag3,Hperrbits,Ksmag3,e_Ksmag3,Ksperrbits,angDist
200017302010027,263.69444758246,-32.536445892674,GALAXY,0.4,,,STAR,1.0,,,355.71256213425096,0.061475043380773656,515596780389,263.694448,-32.536518,VVV J173446.66-323211.46,0,-1,13.156,0.002,0,12.927,0.002,0,12.43,0.001,0,12.027,0.002,16,11.586,0.003,16,0.260908
200017302010054,263.57815781873,-32.748875460396,QSO,0.754,,,,,,,355.4809679959345,0.028624068042581285,515596763083,263.578094,-32.748927,VVV J173418.74-324456.13,0,-1,15.22,0.005,0,14.738,0.005,0,14.012,0.004,0,13.406,0.006,0,12.916,0.01,0,0.267567
200017302010069,263.60440851684,-32.529706204491,GALAXY,0.665,,,STAR,1.0,,,355.67708947075783,0.12892488333536128,515597628067,263.60433,-32.529681,VVV J173425.03-323146.85,0,1,,,0,,,0,17.814,0.095,16,15.777,0.052,16,14.226,0.034,16,0.255476
200329401010003,269.706175838417,-33.6946301232236,STAR,0.891,,,STAR,1.0,,,357.3302463861686,-4.84519887643354,515599938860,269.706261,-33.69466,VVV J175849.50-334140.77,515396075658,-1,13.199,0.002,16,12.711,0.002,16,12.12,0.001,16,11.327,0.001,65552,11.352,0.002,16,0.277139
200329401010006,269.844372015948,-33.8401787445859,STAR,0.444,,,,,,,357.25996606838964,-5.016895027639384,515620489669,269.844445,-33.840179,VVV J175922.66-335024.64,0,-1,13.091,0.002,16,12.802,0.002,16,12.332,0.002,16,11.836,0.002,65552,11.66,0.002,16,0.217369
200329401010013,269.675174033907,-33.6967299887953,QSO,0.582,,,,,,,357.3156360961269,-4.823803473714778,515619568604,269.675244,-33.696698,VVV J175842.05-334148.11,515396075672,-1,13.263,0.002,16,12.866,0.002,16,12.193,0.002,16,11.559,0.002,65552,11.412,0.002,65552,0.240448
200329401010020,269.661675972665,-33.9499787779662,GALAXY,0.459,,,GALAXY,0.676,,,357.0890382601888,-4.939068097948033,515620777663,269.661718,-33.95,VVV J175838.81-335659.99,0,-1,,,0,,,0,16.679,0.067,16,16.199,0.08,16,15.839,0.084,16,0.146709
200329401010054,269.812852673908,-33.8304586788263,GALAXY,0.652,,,,,,,357.25551845753404,-4.989321348407214,515620015662,269.812898,-33.830477,VVV J175915.09-334949.71,0,-1,10.173,0.0,65552,9.297,0.0,65552,8.578,0.001,65552,7.934,0.001,65680,7.348,0.001,65552,0.149702
200329401010064,269.529963050118,-33.7208018710101,GALAXY,0.513,,,STAR,1.0,,,357.2347197379606,-4.730694850098597,515611678845,269.530002,-33.720844,VVV J175807.20-334315.03,515396075666,-1,12.973,0.002,4112,12.634,0.002,4112,12.138,0.002,4112,11.643,0.002,69648,11.446,0.002,4112,0.190954
200329401010086,269.746893238873,-33.986255612174,GALAXY,0.71,,,,,,,357.0923500104844,-5.0184409732386985,515620289911,269.746885,-33.986217,VVV J175859.25-335910.38,0,-1,18.832,0.268,0,18.479,0.26,0,18.042,0.234,0,,,0,,,0,0.139699
200329401015073,269.42671934918,-33.7734681043451,QSO,0.51,,,GALAXY,0.733,,,357.1461521701583,-4.682197312686158,515612007493,269.426669,-33.773482,VVV J175742.40-334624.53,0,-1,,,0,,,0,17.627,0.241,4096,17.21,0.278,4096,,,0,0.158362
200649401010072,272.035467520356,-36.9450147119509,QSO,0.461,,,,,,,355.38527632675823,-8.076381710508462,515659421770,272.035461,-36.944939,VVV J180808.51-365641.77,515396075700,-1,15.41,0.006,8388752,15.222,0.006,8388752,14.956,0.005,8388752,14.712,0.008,8388736,14.532,0.015,8388736,0.274555
200649401010080,272.307279979495,-36.965323748606,GALAXY,0.458,,,,,,,355.46992731981464,-8.277802889133456,515659714738,272.307243,-36.965284,VVV J180913.73-365755.02,0,-1,16.251,0.01,16,15.983,0.012,16,15.709,0.019,0,15.552,0.031,0,15.532,0.044,0,0.176968
200649401015094,271.92201454223,-36.9701326140684,STAR,0.584,,,,,,,355.3198532297398,-8.008165907589389,515653772744,271.922008,-36.970143,VVV J180741.28-365812.51,515396075696,-1,15.486,0.006,0,15.187,0.007,0,14.737,0.005,0,14.156,0.006,0,14.044,0.01,0,0.041258
200855802010003,268.854190556686,-31.0281577721566,QSO,0.66,,,,,,,359.2885444334876,-2.893100951403222,515563832800,268.854213,-31.028152,VVV J175525.01-310141.34,0,1,,,0,,,0,,,0,,,0,16.154,0.223,0,0.072856
200855802010008,268.93588005921,-31.015212214898,QSO,0.819,,,,,,,359.3349501359326,-2.947142387948671,515562811005,268.935802,-31.015198,VVV J175544.59-310054.71,0,-1,17.966,0.204,0,17.395,0.187,0,16.766,0.166,0,15.984,0.152,0,15.693,0.147,0,0.244932
200855802010019,268.904971907962,-30.9992221461776,STAR,0.549,,,STAR,0.975,,,359.33548416251324,-2.9162038225294267,515563498263,268.904885,-30.999248,VVV J175537.17-305957.29,0,-1,14.495,0.009,16,14.282,0.011,16,13.958,0.013,16,13.417,0.014,16,13.261,0.016,16,0.284438
200855811010017,268.87514757271,-30.93003022189,QSO,0.73,,,,,,,359.38253599212254,-2.8593417755310258,515562872632,268.875107,-30.930052,VVV J175530.02-305548.18,0,-1,15.543,0.023,16,15.321,0.027,16,14.921,0.03,16,14.376,0.035,16,14.25,0.039,16,0.148543
200855815010006,268.694530849784,-30.1900398900138,QSO,0.604,,,STAR,1.0,,,359.94433155905887,-2.352573216122496,515552581475,268.694495,-30.189999,VVV J175446.67-301123.99,0,-1,10.715,0.001,69648,10.366,0.001,69648,9.709,0.001,69648,9.136,0.002,69648,8.787,0.002,69648,0.185727
201113501010072,266.292988672696,-29.1133663426856,GALAXY,0.752,,,,,,,359.79774027618816,-0.008826432019248999,515535418494,266.292926,-29.113412,VVV J174510.30-290648.28,0,-1,,,0,,,0,17.683,0.071,16,14.408,0.021,16,,,0,0.257687
201113501010090,266.33713622532,-28.9718875657172,GALAXY,0.65,,,,,,,359.93857667122893,0.03205186669746831,515534715576,266.337209,-28.971859,VVV J174520.93-285818.69,0,-1,14.707,0.004,16,14.43,0.004,16,13.876,0.003,16,13.204,0.007,16,12.335,0.011,16,0.252135
201113501010092,266.534711245424,-29.1067121016939,GALAXY,0.76,,,,,,,359.9134426870989,-0.1856269549098517,515535259158,266.534796,-29.106736,VVV J174608.35-290624.25,0,-2,,,0,,,0,17.305,0.052,4112,,,0,,,0,0.281027
201113501010124,266.477057715984,-29.1369428789067,QSO,0.42,,,,,,,359.86142084563824,-0.15834468259071666,515534666922,266.477133,-29.136899,VVV J174554.51-290812.83,0,-1,10.294,0.001,69648,9.656,0.001,69648,9.376,0.001,69648,11.536,0.002,4112,10.226,0.002,4112,0.28332
201129705010059,266.400453261501,-28.9440474830352,GALAXY,0.725,,,,,,,359.9912147539742,-7.13278329294019E-4,515534937683,266.400505,-28.944073,VVV J174536.12-285638.66,0,-1,,,0,19.285,0.201,0,15.468,0.01,16,12.42,0.004,16,10.676,0.002,16,0.187549
201129706010003,266.375054013696,-29.1178969910613,STAR,0.657,,,,,,,359.8312668078797,-0.07236183221019084,515534760213,266.375069,-29.117829,VVV J174530.01-290704.18,0,-1,8.976,0.001,65552,8.861,0.001,65552,8.98,0.001,65552,11.161,0.001,16,10.465,0.002,16,0.250694
201129706010007,266.433000589104,-29.0823986679482,STAR,0.711,,,,,,,359.88794700332505,-0.09708219327450897,515534695596,266.433006,-29.082424,VVV J174543.92-290456.72,0,-1,10.004,0.001,69648,9.908,0.001,69648,9.853,0.001,69648,9.817,0.001,69648,9.615,0.002,69632,0.091141
201129707010001,266.097559248067,-29.2949781415997,GALAXY,0.522,,,,,,,359.553756085946,0.04171745136013467,515534615703,266.097574,-29.295051,VVV J174423.41-291742.18,0,-1,15.083,0.004,0,14.232,0.003,16,13.466,0.003,16,12.525,0.004,16,11.83,0.007,16,0.267325
201129707010003,266.121412060056,-29.3296255615194,GALAXY,0.808,,,,,,,359.5351099558177,0.005865595563052405,515534632481,266.121338,-29.329621,VVV J174429.12-291946.63,0,-1,13.175,0.002,0,12.643,0.001,0,12.202,0.001,0,11.605,0.002,65552,11.086,0.003,65552,0.234558
201129707010103,266.2871796721,-29.20493065871,GALAXY,0.779,,,STAR,1.0,,,359.7169857163455,-0.052282855425105114,515534987084,266.287205,-29.204879,VVV J174508.92-291217.56,0,-1,,,0,18.033,0.067,0,15.048,0.008,16,12.221,0.003,16,9.442,0.002,65552,0.203748
201129708010010,265.939653969354,-29.4969091451355,GALAXY,0.529,,,STAR,1.0,,,359.3096807889645,0.05312755835796871,515534560565,265.939708,-29.496854,VVV J174345.52-292948.67,0,-1,16.315,0.01,0,15.236,0.007,0,14.364,0.005,16,13.305,0.008,16,12.879,0.017,16,0.261775
201129708010012,265.978101396476,-29.5714080001423,GALAXY,0.652,,,STAR,0.999,,,359.26377908410427,-0.014415950192802696,515534817840,265.978161,-29.571368,VVV J174354.75-293416.92,0,-1,16.099,0.008,16,14.454,0.004,16,12.906,0.002,16,,,0,10.806,0.003,16,0.235226
201129708010064,266.157522192304,-29.4839493520659,GALAXY,0.45,,,,,,,359.4200210294747,-0.10165166124597422,515534821106,266.157504,-29.483887,VVV J174437.80-292901.99,0,-1,14.481,0.003,0,14.031,0.003,0,13.65,0.003,0,13.18,0.007,0,12.847,0.016,0,0.230363
201129710010030,266.77609321012,-29.332320442135,QSO,0.68,,,,,,,359.8300061093519,-0.4828110581420297,515543773922,266.776054,-29.332282,VVV J174706.25-291956.21,0,-1,15.134,0.005,16,14.896,0.007,16,14.244,0.007,16,,,0,,,0,0.185447
201129721010005,266.435238198346,-29.0068837367015,GALAXY,0.75,,,,,,,359.9534305392906,-0.05942258263969023,515536213859,266.435174,-29.006859,VVV J174544.44-290024.69,0,0,,,0,,,0,,,0,,,0,16.995,1.492,0,0.222729
201129721010040,266.470445469542,-29.0663747749044,GALAXY,0.818,,,,,,,359.91866772910174,-0.11667874681685837,515534581138,266.470472,-29.066319,VVV J174552.91-290358.74,0,-1,14.692,0.004,4096,14.311,0.004,4112,14.056,0.004,4112,13.506,0.009,4112,12.742,0.015,4112,0.217242
201129721015113,266.493854328106,-29.0810974634837,GALAXY,0.499,,,,,,,359.9167447498165,-0.14181118968845588,515534757390,266.493859,-29.081134,VVV J174558.52-290452.08,0,-2,15.687,0.006,4112,15.181,0.006,4112,14.817,0.006,4112,14.267,0.019,4112,13.884,0.044,4096,0.132853
201199402010004,272.26661489869,-36.8207177667752,STAR,0.712,,,STAR,0.985,,,355.5837234789638,-8.181447571018488,515659696031,272.266676,-36.820666,VVV J180904.00-364914.39,0,-1,13.324,0.002,16,13.066,0.002,16,12.767,0.002,16,12.338,0.002,16,12.208,0.002,16,0.257333
201199402010015,272.15237537394,-36.9666881826531,GALAXY,0.473,,,,,,,355.41020156192883,-8.169055046747884,515660673712,272.152415,-36.96672,VVV J180836.57-365800.19,0,1,,,0,,,0,,,0,,,0,17.676,0.252,0,0.161251
