srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,srcid_x,RAJ2000,DEJ2000,iauname,PriOrSec,mClass,Zmag3,e_Zmag3,Zperrbits,Ymag3,e_Ymag3,Yperrbits,Jmag3,e_Jmag3,Jperrbits,Hmag3,e_Hmag3,Hperrbits,Ksmag3,e_Ksmag3,Ksperrbits,angDist
200088201010001,270.968412874597,-24.3605868825607,STAR,0.936,,,,,,,6.0089966317736705,-1.2048386832320779,515461668172,270.968539,-24.360726,VVV J180352.44-242138.61,0,0,,,0,7.976,0.002,69776,12.541,0.006,69776,,,0,7.047,0.002,69776,0.649777
200088201010002,271.147152846197,-24.4582910859771,QSO,0.559,,,,,,,6.003703488155112,-1.3946017472547516,515461482013,271.147229,-24.458403,VVV J180435.33-242730.25,0,-1,14.6,0.003,4112,13.874,0.003,4112,12.972,0.002,4112,12.183,0.003,4112,,,0,0.47454
200088201010003,270.99434193082,-24.425013327747,QSO,0.699,,,,,,,5.964458245945212,-1.2570465348367652,515462417846,270.994218,-24.425186,VVV J180358.61-242530.66,0,-2,,,0,,,0,,,0,16.179,0.086,4112,15.367,0.082,4112,0.74357
200088201010004,270.98629337165,-24.425165417772,GALAXY,0.765,,,,,,,5.9607268103078335,-1.25073708078656,515462166552,270.986418,-24.425367,VVV J180356.74-242531.32,0,1,,,0,,,0,18.157,0.164,4096,16.857,0.161,4096,16.027,0.151,4096,0.831727
200088201010005,270.986655762018,-24.3123702039675,GALAXY,0.553,,,,,,,6.059172462937272,-1.1956395322605817,515441261950,270.986825,-24.312485,VVV J180356.83-241844.94,515396075549,-1,,,0,7.895,0.001,65680,8.154,0.001,65680,,,0,7.478,0.001,65680,0.693163
200088201010028,270.958509041044,-24.3523039968863,STAR,0.763,,,,,,,6.01178067146452,-1.1929113274824674,515461639463,270.958613,-24.352214,VVV J180350.06-242107.97,0,-1,13.378,0.002,4112,12.887,0.002,4112,12.268,0.001,4112,11.513,0.002,69648,11.492,0.003,4112,0.469799
200088201010029,270.91776919119,-24.3888244267287,STAR,0.503,,,,,,,5.9617286638679845,-1.178532694546678,515461294109,270.917823,-24.388905,VVV J180340.27-242320.05,0,-1,12.625,0.001,4112,12.12,0.001,4112,11.441,0.001,69648,11.466,0.001,4112,10.562,0.002,69648,0.338319
200088201010031,270.9136323495,-24.435209866081,GALAXY,0.595,,,,,,,5.919470844530013,-1.1980479179359407,515462212505,270.913667,-24.435302,VVV J180339.28-242607.08,0,1,,,0,,,0,18.079,0.152,4096,16.599,0.127,4096,15.353,0.081,4096,0.350372
200088201010035,270.88443078133,-24.353771424442,GALAXY,0.642,,,,,,,5.977330691837413,-1.1348568151894713,515462460911,270.884273,-24.354006,VVV J180332.22-242114.42,0,-1,,,0,,,0,,,0,,,0,16.015,0.149,0,0.991378
200088201010039,271.11702915761,-24.383182496808,GALAXY,0.967,,,,,,,6.055743986256985,-1.3338814665411718,515441059166,271.117271,-24.383303,VVV J180428.14-242259.89,515396075549,-1,19.217,0.109,128,17.407,0.036,144,15.876,0.018,144,14.338,0.014,144,13.627,0.015,128,0.905463
200088201010044,270.83675305373,-24.334797356706,GALAXY,0.735,,,,,,,5.972487514134908,-1.0877031575172087,515462402758,270.836693,-24.334706,VVV J180320.80-242004.94,0,-1,,,0,,,0,,,0,16.331,0.098,0,14.256,0.03,0,0.382183
200088201010047,270.98943335127,-24.504336624178,GALAXY,0.64,,,,,,,5.893142128171629,-1.2920989980610307,515461370452,270.989219,-24.504241,VVV J180357.41-243015.26,0,-1,19.119,0.096,4096,18.388,0.096,4096,17.218,0.069,4096,16.239,0.092,4096,15.819,0.125,4096,0.781132
200088201010050,270.97819178393,-24.419058431195,GALAXY,0.67,,,,,,,5.962425043612062,-1.2413122079329142,515462243001,270.978237,-24.419315,VVV J180354.77-242509.53,0,-1,,,0,,,0,18.123,0.159,4096,16.062,0.078,4096,15.138,0.067,4096,0.936259
200088201010062,270.95251920347,-24.45197334011,GALAXY,0.616,,,,,,,5.9222647126612324,-1.2371179870071685,515462396628,270.952692,-24.451895,VVV J180348.64-242706.82,0,-1,,,0,,,0,,,0,17.614,0.323,4096,15.535,0.096,4096,0.631271
200088201010066,270.96816044536,-24.521895683736,GALAXY,0.528,,,,,,,5.868335293159049,-1.2838595915044824,515461477610,270.968109,-24.521666,VVV J180352.34-243117.99,0,-1,19.872,0.179,4224,18.495,0.111,4224,17.132,0.063,4096,16.118,0.081,4096,15.668,0.109,4096,0.844682
200088201010069,271.122565667541,-24.3843950321938,QSO,0.613,,,,,,,6.057159438474497,-1.3388710764388532,515440498266,271.12271,-24.384474,VVV J180429.45-242304.10,515396075549,-1,13.422,0.002,144,12.988,0.002,144,12.369,0.001,144,11.652,0.002,65680,11.422,0.002,144,0.551422
200088201010070,270.721344607715,-24.3314766698984,QSO,0.66,,,,,,,5.923600940707124,-0.9945380625126803,515461468344,270.721259,-24.331687,VVV J180253.10-241954.07,0,-1,14.997,0.004,16,14.446,0.004,16,13.719,0.004,16,13.029,0.005,16,12.736,0.008,16,0.809026
200088201010093,271.01396762904,-24.567182783721,GALAXY,0.731,,,,,,,5.849333224542231,-1.3423937967739639,515460950597,271.013679,-24.567176,VVV J180403.28-243401.83,0,1,17.89,0.031,4224,16.749,0.024,4224,15.242,0.012,4224,14.276,0.015,4224,13.799,0.02,4224,0.945166
200088201010106,270.945629370192,-24.3677963390065,QSO,0.667,,,,,,,5.992518583815263,-1.190301980614801,515461643839,270.945831,-24.367892,VVV J180346.99-242204.40,0,-1,14.089,0.002,4112,13.363,0.002,4112,12.382,0.001,4112,11.397,0.002,69648,10.625,0.002,69648,0.743752
200088201010114,270.76625366114,-24.349844923191,GALAXY,0.754,,,,,,,5.927768167572703,-1.0391950234074194,515461714038,270.766484,-24.349883,VVV J180303.95-242059.57,0,-1,,,0,19.618,0.284,0,17.915,0.129,0,16.658,0.133,0,16.068,0.157,0,0.767928
200088201010125,270.967534564652,-24.3829310774009,GALAXY,0.836,,,,,,,5.989135631030173,-1.2151158254359165,515461291211,270.96754,-24.38312,VVV J180352.20-242259.23,0,-1,12.099,0.001,69648,11.649,0.001,69648,10.984,0.001,69648,10.476,0.001,69648,10.109,0.001,69648,0.679304
200088201010133,270.72376027211,-24.319719629977,GALAXY,0.718,,,,,,,5.93491834479323,-0.9906614568210685,515461823423,270.72391,-24.319653,VVV J180253.73-241910.75,0,-1,,,0,19.326,0.235,0,17.808,0.118,0,16.958,0.175,0,16.338,0.201,0,0.54556
