srcid,sc_ra,sc_dec,Class_x,Px,Class_xo,Pxo,Class_xi,Pxi,Class_xio,Pxio,GAL_LONG,GAL_LAT,srcid_x,RAJ2000,DEJ2000,iauname,PriOrSec,mClass,Zmag3,e_Zmag3,Zperrbits,Ymag3,e_Ymag3,Yperrbits,Jmag3,e_Jmag3,Jperrbits,Hmag3,e_Hmag3,Hperrbits,Ksmag3,e_Ksmag3,Ksperrbits,angDist
200088201010140,270.993845320394,-24.416299054857,GALAXY,0.859,,,,,,,5.9718297179322,-1.252374225469987,515461239635,270.993899,-24.416276,VVV J180358.53-242458.59,0,-1,13.509,0.002,4112,12.901,0.002,4112,12.123,0.001,4112,11.554,0.002,69648,11.086,0.002,69648,0.193462
200088201010259,271.137163085826,-24.3123322839756,QSO,0.583,,,STAR,1.0,,,6.126509155107912,-1.3151413300888957,515440735254,271.137182,-24.312341,VVV J180432.92-241844.42,0,-1,10.454,0.001,65552,11.061,0.001,16,10.047,0.001,65552,9.937,0.001,65552,9.833,0.001,65552,0.069745
200088201010447,270.85846885771,-24.554226656192,GALAXY,0.732,,,,,,,5.791122495776467,-1.2128432351993061,515462392238,270.858451,-24.554242,VVV J180326.02-243315.27,0,-1,,,0,,,0,,,0,17.844,0.395,4096,16.76,0.297,4096,0.081016
200088201010584,270.997746357522,-24.206509044335,QSO,0.606,,,STAR,1.0,,,6.156378510931703,-1.1524680863425678,515440794659,270.997748,-24.206548,VVV J180359.45-241223.57,0,-1,13.794,0.002,16,13.48,0.002,16,13.13,0.002,16,12.562,0.003,16,12.323,0.005,16,0.141556
200509401010063,270.849590402696,-30.0453331633902,GALAXY,0.441,,,STAR,1.0,,,0.9967018393839432,-3.8990695019655406,515551247565,270.849572,-30.045281,VVV J180323.89-300243.01,0,1,13.238,0.003,16,13.102,0.003,16,12.818,0.003,16,12.546,0.004,0,12.455,0.005,16,0.197385
200509402010020,269.61816184253,-29.895052592076,GALAXY,0.585,,,,,,,0.6007651202072772,-2.8968938170520553,515542812404,269.618159,-29.8951,VVV J175828.35-295342.36,0,-2,15.685,0.034,16,15.431,0.036,16,15.087,0.04,16,14.619,0.044,16,14.37,0.045,16,0.172072
200509403010013,274.985011599753,-32.3330220436143,QSO,0.634,,,STAR,0.992,,,0.6483032387584079,-8.097148166358599,515581260964,274.985053,-32.33301,VVV J181956.41-321958.83,515396075645,-1,,,0,,,0,12.248,0.001,16,11.908,0.001,16,11.685,0.002,16,0.134006
200673403010029,272.25819688982,-31.273671956921,QSO,0.655,,,,,,,0.5043836798861927,-5.553211957193304,515560134231,272.258161,-31.273713,VVV J180901.95-311625.36,0,1,17.367,0.068,16,17.173,0.078,16,16.774,0.078,16,16.489,0.102,16,16.387,0.143,0,0.186489
200855805010007,268.64443873328,-30.0193768853726,QSO,0.6,,,,,,,0.0699491068380398,-2.2290853707945306,515553171174,268.644448,-30.019358,VVV J175434.66-300109.68,0,-1,11.201,0.001,16,11.111,0.001,16,11.065,0.001,16,11.099,0.003,16,10.472,0.002,16,0.075277
200855805010022,268.59519952906,-30.067721000649,GALAXY,0.683,,,,,,,0.006654043862718406,-2.21668806412544,515553500483,268.595219,-30.067692,VVV J175422.85-300403.69,0,-2,,,0,15.126,0.026,16,,,0,14.029,0.036,16,13.862,0.04,16,0.120811
201032619010026,270.28333559672,-24.949779960617,GALAXY,0.76,,,,,,,5.189234564857106,-0.953780966225445,515461519385,270.28334,-24.949735,VVV J180108.00-245659.04,0,-1,19.594,0.136,0,18.785,0.14,0,17.67,0.102,0,,,0,,,0,0.163702
201113501010213,266.549070310975,-28.9426826265607,QSO,0.484,,,,,,,0.060077048248233816,-0.11104930481875148,515536183898,266.549058,-28.942645,VVV J174611.77-285633.52,0,-1,,,0,,,0,,,0,12.875,0.005,4112,11.402,0.005,4112,0.142222
201122015010070,269.47792891715,-24.477023560598,GALAXY,0.696,,,,,,,5.235040376570229,-0.08390111102211843,515450265096,269.477965,-24.477025,VVV J175754.71-242837.28,0,-1,,,0,19.035,0.175,0,16.372,0.024,16,14.199,0.013,16,13.13,0.011,16,0.118887
201122015010209,269.40733460378,-24.405082793719,GALAXY,0.649,,,,,,,5.265148947805638,0.007746834445048614,515450123718,269.407317,-24.405106,VVV J175737.75-242418.38,0,-1,18.014,0.042,0,16.944,0.027,0,15.247,0.009,0,13.515,0.007,0,12.611,0.007,0,0.100456
201122015010223,269.56894868413,-24.532412339454,GALAXY,0.726,,,,,,,5.228489782386188,-0.18332134248129087,515450162083,269.56896,-24.532389,VVV J175816.55-243156.60,0,1,17.817,0.036,16,17.094,0.031,0,16.243,0.022,16,15.298,0.035,16,14.676,0.042,16,0.090204
