   l               b                  Area
   303.4287297    -2.0546701         33.9806
   303.4414822    -1.6266217          0.0000
   303.4541845    -1.2676551         20.1917
   303.4619593    -1.6449488          8.6499
   303.4703826    -1.6163058         18.9226
   303.4733874    -1.6381084         15.0126
   303.4740527    -1.7163264          0.0000
   303.4717846    -1.8818538         39.9578
   303.4708176    -2.1271225         21.0640
   303.4650389    -2.1335600         15.7082
   303.4843451    -1.5266325          0.0000
   303.4915850    -1.2314381         14.9169
   303.4862873    -1.9457156         35.4357
   303.5048482    -1.1523387          0.0000
   303.4988535    -1.7394288         21.2025
   303.4917537    -2.1924687          0.0000
   303.5233759    -1.2490424         40.5411
   303.5188450    -1.9115355         10.4668
   303.5493573    -1.5041732          0.0000
   303.5454035    -1.7446547         17.7817
   303.5676357    -1.4007074          0.0000
   303.5591223    -1.7971764         21.6209
   303.5621056    -1.8873282         14.1505
   303.5631175    -1.9173493         11.3712
   303.5824878    -2.1298919         35.7840
   303.5873610    -2.1576468          0.0000
   303.6071514    -1.3862595          0.0000
   303.5913336    -2.1514110         17.1207
   303.6073739    -1.7727392         21.5707
   303.6077001    -1.9445191         22.0704
   303.6163036    -1.6856425          0.0000
   303.6222993    -1.8964876          9.1922
   303.6519254    -1.1992544          0.0000
   303.6369354    -1.8516946         19.1431
   303.6531730    -2.0080596         25.5079
   303.6645565    -1.8950717          7.9368
   303.6802979    -1.9410231          7.7609
   303.7006346    -1.2752500         41.0346
   303.6825495    -1.9926340          7.1450
   303.6932132    -1.6624622          0.0000
   303.6880970    -1.9190687          4.2776
   303.6973236    -2.0530368         16.4547
   303.7192212    -1.3114590          0.0000
   303.7102673    -1.7692384         21.8110
   303.7132294    -1.7633798         39.4830
   303.7121594    -2.0152312          9.6317
   303.7169591    -1.8749009         30.0623
   303.7187540    -1.9468218          8.1606
   303.7186792    -2.0977322         38.0803
   303.7250372    -1.9152196         14.5798
   303.7407683    -1.4843643          0.0000
   303.7530441    -1.4198151         31.7583
   303.7561050    -1.9892583         32.1689
   303.7957136    -1.4372997          0.0000
   303.7896434    -2.1320189         38.5610
   303.8609299    -1.1874254          0.0000
   303.8274828    -2.2499409          0.0000
   303.8462262    -2.1109876          0.0000
   303.8746341    -1.5490455          0.0000
   303.8629464    -1.9277972          0.0000
   303.8922765    -1.5282765          0.0000
   303.9032957    -1.7913305          0.0000
   303.9207465    -2.0508092          0.0000
   303.9958585    -1.6112822          0.0000
   303.9950308    -1.7389647          0.0000
   304.0407424    -2.0878354          0.0000
   304.0771183    -1.3467616          0.0000
   304.0520048    -2.1048797          0.0000
   304.1100362    -1.4149260          0.0000
   304.0977471    -1.9122915          0.0000
   304.1543780    -1.3524994          0.0000
   304.1274496    -2.0967043          0.0000
   304.1550696    -1.6326893          0.0000
   304.2713872    -1.5037295          0.0000
   304.3434133    -1.3420658          0.0000
   304.3776008    -1.8403814          0.0000
   304.3941844    -1.5937517          0.0000
   304.3664564    -2.1249093          0.0000
   304.3894492    -1.7682848          0.0000
   304.4037629    -2.1973732          0.0000
   304.4515129    -1.3360639          0.0000
   304.4150464    -2.1961443          0.0000
   304.4887685    -1.5383798          0.0000
   304.5003831    -1.4234596         38.3155
   304.4720036    -1.9346432          0.0000
   304.5267815    -1.4547528         25.9956
   304.5634113    -1.3486666          0.0000
   304.5462495    -1.8193576          0.0000
   304.5782939    -1.5184804         23.8850
   304.5882347    -1.8348643         34.5026
   304.6178302    -1.5212172          0.0000
   304.6163435    -1.7401706         43.4449
   304.6327228    -1.5598635          0.0000
   304.6094809    -2.0544090          0.0000
   304.6375419    -1.5982103          0.0000
   304.6363543    -1.6569282         42.7828
   304.6350136    -1.6954386         33.7784
   304.6633145    -1.8397856          0.0000
   304.6808524    -2.0849209          0.0000
   304.7545856    -1.1003015          0.0000
   304.7129131    -1.9266063          0.0000
   304.7287203    -2.1015719          0.0000
   304.8320681    -1.2340668          0.0000
   304.8077137    -1.8040561          0.0000
   304.8258166    -2.0214877          0.0000
   304.8451163    -1.7556152          0.0000
   304.9028752    -1.2595202          0.0000
   304.8803146    -1.7541474          0.0000
   304.9419580    -1.2089529         29.5530
   304.9883796    -1.4128328          0.0000
   304.9565829    -2.0423321          0.0000
   305.0408470    -1.2707407         40.3026
   304.9752238    -2.1945229          0.0000
   305.0432163    -1.3325625          0.0000
   305.0330124    -1.7503954          0.0000
   305.0485016    -2.0724290         24.8876
   305.0663601    -2.0509904         28.2154
   305.1121805    -1.6799464          0.0000
   305.1517723    -1.2528763         39.7181
   305.1526108    -1.2717109         14.4024
   305.0994069    -2.0852427         11.6976
   305.1185020    -1.9246206          0.0000
   305.1637790    -1.4939272          0.0000
   305.1802008    -1.3106028          0.0000
   305.1234215    -2.0865596         14.1828
   305.1348796    -2.1294794         37.8403
   305.1833275    -1.6269889          0.0000
   305.1795241    -1.9380001         12.7252
   305.1905114    -1.9496692          8.4317
   305.1901084    -2.0231651         37.5889
   305.1803733    -2.2175852          0.0000
   305.2019642    -1.9731722         20.4349
   305.2741349    -1.1876580          0.0000
   305.2216182    -1.8696637         32.9257
   305.2836559    -1.3838332          0.0000
   305.2439461    -1.8563689         16.2853
   305.2579055    -1.8215177          0.0000
   305.3191794    -1.4852594          0.0000
   305.3255091    -1.4291347         12.3000
   305.2643737    -2.1673233          0.0000
   305.3635689    -1.2717998          0.0000
   305.3542286    -1.4181199          0.0000
   305.3407362    -1.9454952          0.0000
   305.3605168    -1.7315345         27.5644
   305.3345699    -2.0389346         35.2208
   305.4224092    -1.0618302          0.0000
   305.3670652    -1.7078673          0.0000
   305.3729404    -1.7297280          2.9622
   305.4422307    -1.0944924         30.7561
   305.3656955    -2.0115604         19.8542
   305.3995940    -1.7449463         16.8574
   305.4812354    -1.0595980         40.6029
   305.3930567    -2.0621128         31.0717
   305.4357480    -1.7265016         22.0274
   305.4854302    -1.1898238          0.0000
   305.4362616    -1.7476845          9.7861
   305.4498173    -1.8669572          0.0000
   305.4493207    -2.0797359          0.0000
   305.4847294    -1.7805734         16.9991
   305.5409902    -1.2000060          0.0000
   305.5000207    -1.7500151         11.5748
   305.5620010    -1.1679128         12.7707
   305.4930535    -1.9787172          0.0000
   305.5294087    -1.6820334          0.0000
   305.5487448    -1.7277799         31.0335
   305.5604690    -1.7993601          0.0000
   305.5284807    -2.1885838          0.0000
   305.5586447    -2.2411035          0.0000
   305.6627219    -1.1937141          0.0000
   305.6285420    -1.5821498          0.0000
   305.6681692    -1.1760876         12.6092
   305.6317876    -1.6114411          0.0000
   305.5767047    -2.2152280          0.0000
   305.5917361    -2.1469143          0.0000
   305.6925898    -1.1666423         33.6275
   305.6771175    -1.8794010          0.0000
   305.6771885    -1.8867947         38.4340
   305.7376429    -1.3793303          0.0000
   305.7625489    -1.3632037         23.9836
   305.7431589    -1.5751288          0.0000
   305.7110171    -2.0328840          0.0000
   305.8039666    -1.3050057         38.1427
   305.8342933    -1.0880264          0.0000
   305.7280775    -2.2085238          0.0000
   305.7587244    -1.9282368          0.0000
   305.8378717    -1.3504398          0.0000
   305.8634652    -1.2167589         31.7537
   305.7969928    -1.9539539         19.8363
   305.7926527    -2.0720042          0.0000
   305.8991489    -1.1958719         17.6560
   305.8656902    -1.5142094          0.0000
   305.8533113    -1.6739324          0.0000
   305.9194461    -1.1096355         27.3780
   305.9170402    -1.2342555         15.3053
   305.8471942    -1.9652304         23.3325
   305.8526940    -1.9503791         29.4233
   305.9008544    -1.6030266         29.1439
   305.9487565    -1.2449704         40.4707
   305.9977431    -1.1466798          0.0000
   305.9570070    -1.6073881          0.0000
   305.9037957    -2.1590848          0.0000
   305.9500280    -1.8545147          0.0000
   305.9644869    -1.9497708         25.8313
   306.0431453    -1.2464115          0.0000
   305.9511491    -2.2159646          0.0000
   305.9779427    -2.0302069         34.4126
   305.9934869    -1.9002581         20.6656
   306.0107944    -2.0673175         30.0548
   306.1038682    -1.3326375          0.0000
   306.0413764    -1.9493659         13.0221
   306.0355122    -2.1463460         28.1608
   306.0603725    -1.9611085         29.7708
   306.0891732    -1.8939789         30.1285
   306.0566004    -2.2108147          0.0000
   306.0995806    -1.8601261          0.0000
   306.1386052    -1.6596272          0.0000
   306.0990377    -2.1800905         22.1783
   306.1358389    -2.0752439          0.0000
   306.1515488    -2.2225405          0.0000
   306.3510843    -1.0710272          0.0000
   306.2616342    -1.8577622          0.0000
   306.2483779    -2.0327698          0.0000
   306.3248388    -2.0422840          0.0000
   306.3467264    -1.9743354         27.1381
   306.3732033    -1.9702605          0.0000
   306.3934841    -1.9974495          8.8173
   306.4078541    -2.0344411         39.5022
   306.4374169    -2.0067401         10.6587
   306.4580825    -1.9951480          0.0000
   306.5429510    -1.3394226          0.0000
   306.5085546    -1.6235683          0.0000
   306.5327169    -1.5757397          0.0000
   306.5375468    -1.6833182          0.0000
   306.4828682    -2.2190620          0.0000
   306.6487708    -1.3426020          0.0000
   306.6769573    -1.1435491          0.0000
   306.5709678    -1.9651718         35.6056
   306.5952485    -1.9465232         21.4959
   306.5624007    -2.1945405         39.3032
   306.5629822    -2.2181357          0.0000
   306.6045014    -1.9509891          1.7212
   306.5895637    -2.0773660         33.8207
   306.6071823    -1.9467373          5.5206
   306.6014684    -2.0469280         14.3371
   306.6424726    -1.8041844          0.0000
   306.6211448    -1.9822022         12.3362
   306.6476446    -1.9427030         12.3498
   306.6311381    -2.0724833          0.0000
   306.6510948    -1.9564511         35.0967
   306.6668883    -1.8666886         31.0307
   306.6855857    -1.7462986          0.0000
   306.7147509    -1.7904383         16.6077
   306.8150994    -1.2230556          0.0000
   306.7719969    -1.5803901          0.0000
   306.7544141    -1.8131291         19.1364
   306.7793287    -1.6729418          0.0000
   306.7708037    -1.8368319         34.0984
   306.8808395    -1.1934244          0.0000
   306.8846001    -1.5910155          0.0000
   306.8533130    -1.9189749          0.0000
   306.8870223    -1.7830877         42.2189
   307.0102137    -1.0763296          0.0000
   306.9176748    -1.7957326         36.7880
   306.9737416    -1.6562376         42.7399
   306.9194015    -2.0315485          0.0000
   306.9088816    -2.1561976          0.0000
   307.0362698    -1.3742742          0.0000
   306.9270926    -2.1712252          0.0000
   307.0058054    -1.6604557          0.0000
   306.9795561    -1.8695738          0.0000
   306.9667787    -2.0982601         40.5424
   307.0794968    -1.4195333          0.0000
   307.0317864    -2.0468950          0.0000
   307.1448422    -1.3980039          0.0000
   307.1728458    -1.8255997          0.0000
   307.2389847    -1.5602806          0.0000
   307.2182662    -1.8256747          0.0000
   307.2680626    -1.6816782          0.0000
   307.2124162    -2.1973847          0.0000
   307.2163112    -2.1901829          0.0000
   307.3534050    -1.7970500          0.0000
   307.3697765    -1.9161749         30.6662
