#      l               b                 jmag             hmag             kmag              id_obj       id_clu
       303.54540       -1.7446589        14.991824        14.417868        14.153196          473          508 
       303.55912       -1.7971729        15.303891        14.312556        13.879443          475          508 
       303.56210       -1.8873305        14.925881        13.809503        13.556845          476          508 
       303.56312       -1.9173466        15.962695        15.300675        15.189625          477          508 
       303.58249       -2.1298893        16.476330        15.696685        14.990979          478          508 
       303.59134       -2.1514136        14.788977        14.094578        13.713548          481          508 
       303.60737       -1.7727430        15.627131        14.352587        14.164186          482          508 
       303.60770       -1.9445227        14.700379        14.221004        13.932018          483          508 
       303.62230       -1.8964836        14.276439        13.668355        13.480647          485          508 
       303.63694       -1.8516974        14.560320        13.958546        13.800949          487          508 
       303.65317       -2.0080617        15.725058        15.163712        14.920905          488          508 
       303.66456       -1.8950727        13.912720        13.350142        12.936833          489          508 
       303.68030       -1.9410262        14.997708        14.287480        14.030301          490          508 
       303.68255       -1.9926350        15.989572        15.374084        15.027418          492          508 
       303.68810       -1.9190679        16.054621        14.830476        14.305529          494          508 
       303.69732       -2.0530400        14.924429        14.196726        13.762428          495          508 
       303.71027       -1.7692425        14.668628        13.857713        13.346649          497          508 
       303.71323       -1.7633814        15.300395        14.699603        14.555652          498          508 
       303.71216       -2.0152307        14.631037        14.235509        14.038405          499          508 
       303.71696       -1.8749053        15.741341        14.849566        14.498700          500          508 
       303.71875       -1.9468265        15.769058        15.059002        15.058581          501          508 
       303.71868       -2.0977342        15.669545        15.120452        15.295600          502          508 
       303.72504       -1.9152245        15.357994        13.767533        13.991655          503          508 
       303.75610       -1.9892565        16.229290        15.062035        14.539532          506          508 
       303.78964       -2.1320207        15.138995        14.490337        14.204268          508          508 
       305.04850       -2.0724243        14.847206        14.252763        13.756702          569          606 
       305.06636       -2.0509915        16.667001        15.885274        15.436064          570          606 
       305.09941       -2.0852393        15.748311        15.281040        15.001036          574          606 
       305.12342       -2.0865557        16.019403        15.078242        14.481502          578          606 
       305.13488       -2.1294765        15.511539        14.497547        13.934535          579          606 
       305.17952       -1.9379980        16.807761        15.761669        14.848335          581          606 
       305.19051       -1.9496641        14.942338        14.130966        13.591119          582          606 
       305.19011       -2.0231659        16.938851        16.623874        15.635172          583          606 
       305.20197       -1.9731697        16.867068        15.552840        14.975760          585          606 
       305.22162       -1.8696621        14.807477        13.604755        13.150813          587          606 
       305.24395       -1.8563673        15.341417        14.593296        14.170214          589          606 
       305.33457       -2.0389377        15.437183        15.039152        14.499080          598          606 
       305.36570       -2.0115585        16.122155        15.108608        14.545678          603          606 
       305.39306       -2.0621088        16.570041        15.396677        15.003992          606          606 
       305.36052       -1.7315389        15.279750        14.351367        14.143326          597          618 
       305.37294       -1.7297262        15.573192        14.724647        14.186100          601          618 
       305.39959       -1.7449456        15.464691        14.420795        13.658835          604          618 
       305.43575       -1.7265031        15.940468        15.092741        14.686453          607          618 
       305.43626       -1.7476884        16.591700        15.865623        15.063378          609          618 
       305.48473       -1.7805754        15.275087        14.481064        14.056094          612          618 
       305.50002       -1.7500172        16.068781        15.106868        14.714274          614          618 
       305.54875       -1.7277754        15.141608        15.401190        15.304843          618          618 
       305.79699       -1.9539498        16.158922        15.762886        15.377263          641          670 
       305.84719       -1.9652302        17.115296        16.354253        15.246641          648          670 
       305.85269       -1.9503802        16.550652        15.621383        15.052278          649          670 
       305.96449       -1.9497735        15.688720        14.801662        14.093920          656          670 
       305.97794       -2.0302037        15.656132        15.200316        14.912263          659          670 
       305.99349       -1.9002529        13.932216        13.433911        13.144871          660          670 
       306.01079       -2.0673204        15.127513        14.053703        13.680153          661          670 
       306.04138       -1.9493624        14.489076        13.799290        13.278822          663          670 
       306.03551       -2.1463416        13.959110        13.172809        12.764578          664          670 
       306.06037       -1.9611048        14.994238        14.346287        13.935006          665          670 
       306.08917       -1.8939773        15.880146        14.905254        14.456248          666          670 
       306.09904       -2.1800913        14.075048        13.684383        13.318061          670          670 
       306.34673       -1.9743323        14.295066        14.573542        13.614502          677          717 
       306.37320       -1.9702608        15.145568        14.381533        13.952447          678          717 
       306.39348       -1.9974534        15.852531        15.125315        14.712465          679          717 
       306.40785       -2.0344384        15.581570        15.018511        14.560753          680          717 
       306.43742       -2.0067409        15.223188        14.328373        14.058110          681          717 
       306.57097       -1.9651723        14.936736        14.016210        13.758788          690          717 
       306.59525       -1.9465192        14.531522        13.537317        13.366923          691          717 
       306.56240       -2.1945397        15.565702        14.841290        14.524029          692          717 
       306.60450       -1.9509856        14.699224        13.945535        13.462797          694          717 
       306.58956       -2.0773703        15.284465        14.500314        13.797803          695          717 
       306.60718       -1.9467376        14.710148        14.305969        14.008313          696          717 
       306.60147       -2.0469316        14.732167        14.602892        14.528373          697          717 
