name,P_AGN,P_CV,P_HM-STAR,P_HMXB,P_LM-STAR,P_YSO,e_P_AGN,e_P_CV,e_P_HM-STAR,e_P_HMXB,e_P_LM-STAR,e_P_YSO,P_LMXB,P_NS,e_P_LMXB,e_P_NS,Class,Class_prob,Class_prob_e,conf_flag,ra,dec,PU_X,significance,F_b,HR_hms,P_inter,P_intra,G,J,W3,cp_counts,CSC_flags,GLON,GLAT,PU_TeV,TeV_extent,HESS,true_Class
2CXO J191355.5+094615,1.004016064257028e-05,0.0549799196787148,0.4006626506024096,0.0308534136546184,0.3007028112449799,0.2092168674698795,0.0003168621252622,0.0466215340327989,0.143091363618892,0.0301816044075966,0.1090401614828663,0.1046121775660081,0.0034236947791164,0.0001506024096385,0.006529808019157,0.0012983985646625,HM-STAR,0.4006626506024096,0.143091363618892,0.0,288.4812916666666,9.770991666666667,1.49,6.03,2.272112233148995e-14,0.19010047560464666,,0.421,12.299035,9.79,8.749,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191408.5+095504,0.0,0.0027510040160642,0.1437048192771084,0.0009839357429718,0.7809738955823293,0.0649899598393574,0.0,0.0069065731560436,0.0859158710680066,0.0034489446309304,0.1104142738992045,0.0455044301736162,0.0064859437751004,0.0001104417670682,0.0099294396656214,0.0010456184751621,LM-STAR,0.7809738955823293,0.1104142738992045,1.0,288.53545833333334,9.917930555555555,0.75,8.75,1.954387378810518e-14,-0.8928910147974362,,0.817,13.118026,11.694,11.966,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191316.1+100902,0.0,0.001867469879518,0.1163755020080321,0.0022389558232931,0.8568674698795181,0.0222489959839357,0.0,0.005391833208738,0.1037334018314575,0.0060406602615969,0.1192448033317689,0.0230481743463442,0.0004016064257028,0.0,0.0022053743012837,0.0,LM-STAR,0.8568674698795181,0.1192448033317689,1.0,288.3174166666666,10.150561111111111,0.74,9.27,1.9795080156946402e-14,-0.9294208892943507,,0.352,9.999143,8.556,7.792,9,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191246.9+100948,1.004016064257028e-05,0.1735943775100401,0.0975401606425702,0.0966064257028112,0.1949698795180723,0.2204016064257028,0.0003168621252622,0.1033077664143488,0.060506018584925,0.0580324785071594,0.0932608547652403,0.0755431878037157,0.2104919678714859,0.0063855421686746,0.1098626778101694,0.0103403367754817,YSO,0.2204016064257028,0.0755431878037157,0.0,288.1955833333333,10.163494444444444,1.45,7.55,3.666115980665525e-14,0.08932608520383777,,0.694,15.166695,13.117,,8,,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J191237.9+101044,0.0002660642570281,0.0902610441767068,0.0026054216867469,0.0003614457831325,8.53413654618474e-05,0.0010592369477911,0.0016638313151017,0.081529241469469,0.006574958640823,0.0019205002274643,0.0010113655547637,0.0034155283911915,0.1131024096385542,0.7922590361445784,0.1052239227734647,0.142547064144287,NS,0.7922590361445784,0.142547064144287,1.0,288.1582083333333,10.17914722222222,1.58,14.66,2.660686252032787e-13,0.7657098789497219,,0.762,,,,0,extent,44.459999,-0.13,58.8,extent,J1912+101,
2CXO J161653.4-520535,0.0001154618473895,0.1109136546184739,0.1059638554216867,0.0278815261044176,0.2417319277108434,0.3483032128514056,0.0010570281120664,0.0726447165906776,0.0726872884921212,0.0253504089959438,0.1028031119364481,0.1236211688858441,0.1589658634538152,0.0061244979919678,0.1071008299605968,0.0101763625141349,YSO,0.3483032128514056,0.1236211688858441,0.0,244.22275,-52.09308055555556,1.52,7.65,1.5918327893075554e-14,-0.37414993472090713,,0.582,16.800137,13.983,,6,,331.470001,-0.6,50.4,extent,J1614-518,
2CXO J161649.6-520149,0.0001104417670682,0.0764056224899598,0.1014558232931726,0.0440863453815261,0.1611746987951807,0.3941064257028113,0.0010456184751621,0.056381080690362,0.074131412964854,0.0360411347109585,0.0932070996196491,0.1616849244451679,0.2187951807228915,0.0038654618473895,0.1271565893216194,0.0084483635171636,YSO,0.3941064257028113,0.1616849244451679,0.0,244.2070416666666,-52.03041944444444,0.79,7.91,1.8175712118277453e-14,0.06363943844806941,,0.879,16.364489,13.669,,6,,331.470001,-0.6,50.4,extent,J1614-518,
2CXO J161717.1-515745,0.0010592369477911,0.0266867469879518,0.0303430388219544,0.0,0.0003815261044176,0.0010793172690763,0.0036912915335977,0.0489273511803763,0.0450079342290308,0.0,0.0033029635056901,0.0038521329907774,0.0826087684069611,0.8578413654618473,0.1020712185821641,0.1405458094662935,NS,0.8578413654618473,0.1405458094662935,1.0,244.32141666666664,-51.962633333333336,0.73,8.87,2.4707102325813445e-14,0.5073017154540987,,0.347,,,,0,,331.470001,-0.6,50.4,extent,J1614-518,
2CXO J161649.8-520031,0.0,0.0744528112449799,0.6582429718875502,0.0006325301204819,0.0225150602409638,0.1493072289156626,0.0,0.0718186352136286,0.1796197133052005,0.0025952229063734,0.0224475888532154,0.0937076711165218,0.0898644578313253,0.0049849397590361,0.0737141477581186,0.0084159918423103,HM-STAR,0.6582429718875502,0.1796197133052005,0.0,244.20783333333327,-52.00884722222222,0.79,6.4,7.818663831666231e-15,-0.5101970042056531,,0.693,15.81566,,,3,,331.470001,-0.6,50.4,extent,J1614-518,
2CXO J161710.9-515705,0.1052543507362784,0.0023142570281124,0.0345381526104417,0.0,5.020080321285141e-05,0.0025451807228915,0.1450161315196665,0.0064846659135418,0.0538491989852921,0.0,0.0010502404414052,0.0077959509441174,0.0444779116465863,0.8108199464524766,0.0681304596634148,0.1853108585102505,NS,0.8108199464524766,0.1853108585102505,1.0,244.29554166666665,-51.95144722222223,0.73,6.24,1.6383558681815464e-14,0.7935466592589498,,0.115,,,,0,,331.470001,-0.6,50.4,extent,J1614-518,
